ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001160,PR-00000652,Out of Hours Care,Mooloolaba Outside School Hours Care,Mooloolaba State School P & C Association ,15 Meta Street  ,MOOLOOLABA,QLD,4557,0419 783 990,54 577 259,moshc@live.com.au, This service is approved to provide education and care to children from over preschool age including school  children.,80,12/12/13,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,https://mooloolbss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,"""BSC: 7.00am - 8.45am, ASC: 3.00pm - 6.00pm, VC: 7.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00000326,PR-00001170,Long Day Care,Mountain Creek Early Childhood Centre,Log On Pty Ltd ATF the Logan Family Property Trust,42 Molakai Drive  ,MOUNTAIN CREEK,QLD,4557,07 5444 0488,5444 0458,info@mountaincreek.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,9/7/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.mountaincreek.net.au/,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $69.00""",6.45am - 6.15,,,,,,,,,,,,,,,,,,,,,
SE-00000196,PR-00008029,Long Day Care,C&K Cotton Tree Childcare Centre,The Creche and Kindergarten Association Limited,Civic Centre  Beach Parade,COTTON TREE,QLD,4558,07 5443 3252,5479 5318,cottontree@candk.asn.au, This service is approved to provide education and care to children from birth up to and including school children; 	This service is approved to provide a rest period from  12.00pm to 2.00pm on - Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)). 	This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017.,72,6/8/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/cottontree,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $83.20, 25 months - 5 years: $81.10""",7.00am - 6.00pm,F,F,,,,,,,,,,,,,,,,,,,
SE-00014030,PR-00008029,Short Day Care,C&K Kuluin Community Kindergarten,The Creche and Kindergarten Association Limited,67 Tallow Wood Drive     ,KULUIN,QLD,4558,07 5453 7348,,kuluin@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and  including over preschool age not including school children.,24,7/21/16,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,http://www.candk.asn.au/kuluin,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $29.12""",8.45am - 2.30pm,F,F,,,,,,,,,,,,,,,,,,,
SE-00000823,PR-00008029,Family Day Care,C&K Maroochy Family Day Care,The Creche and Kindergarten Association Limited,45 School Road   ,MAROOCHYDORE,QLD,4558,07 5479 1677,,maroochyfdc@candk.asn.au,,0,5/1/14,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,http://www.candk.asn.au/maroochydorefdc,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $6.00 - $9.00*""",12.00am - 11.59pm,F,F,,,,,,,,,,,,,,,,,,,
SE-00000589,PR-40000440,Long Day Care,Dalton Drive Early Learning,Maroochydore Early Learning Centre Pty Ltd AFT BJM Family Trust,30 Dalton Drive  Horton Lakes,MAROOCHYDORE,QLD,4558,07 5479 1411,5479 2200,earlylearning@daltondrive.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,3/13/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.daltondrive.com/,"""ages 6 weeks to  years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000324,PR-00001129,Long Day Care,Goodstart Early Learning Kuluin - Main Road,Goodstart Early Learning Ltd,318 Main Road  ,KULUIN,QLD,4558,07 54439 989,,mdr@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 11:30am to 12:30pm and 3:00pm to 4:00pm when it is 77 children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,71,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/kuluin-main-road/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $81.40, 25 months - 5 years: $74.20""",7.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00000368,PR-00001129,Long Day Care,Goodstart Early Learning Kuluin - Tallow Wood Drive,Goodstart Early Learning Ltd,84 Tallow Wood Drive  ,KULUIN,QLD,4558,07 5443 6623,,kul@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,40,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/kuluin-tallow-wood-drive/overview,"""ages 24 months to 5 years""","""25 months - 35 months: $76.00, 36 months - 5 years: $71.80""",7.00am - 6.00pm,T,T,,,T,,,,,,,,,,,,,,,,
SE-00001890,PR-00006559,Out of Hours Care,Helping Hands Maroochydore,Helping Hands Network Foundation Ltd,56 Primary School Court  ,MAROOCHYDORE,QLD,4558,0427 080 638,,maroochydore@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school  children.,75,2/3/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00002250,PR-00000697,Long Day Care,Immanuel Early Learning Centre,Lutheran Church of Australia Queensland District,126-142 Wises Road  ,MAROOCHYDORE,QLD,4558,07 5477 3416,754773417,ielc@immanuel.qld.edu.au, This service is approved to provide education and care to children from children from 30 months up to and including over preschool age not including school children This service is approved to provide a rest period from 1:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,66,1/5/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://ielc.immanuel.qld.edu.au/,"""ages 25 months to 5 years""","""25 months - 5 years: $78.00""",7.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001933,PR-00000860,Long Day Care,Kuluin Early Learning Centre,Kuluin Early Learning Centre Pty Ltd ,23 Indiana Place   ,KULUIN,QLD,4558,5445 1192,5450 1384,kuluinelc@gcaweb.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,3/10/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.kuluinelc.com.au/,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $80.00, 25 months - 6 years: $77.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001085,PR-00000260,Outside of Hours Care,Kuluin Outside School Hours Care Program,Kuluin State School P&C Association,Kuluin State School  Tallow Wood Drive,MAROOCHYDORE,QLD,4558,07 5477 0175,54773700,oshc@kuluinss.eq.edu.au, The maximum number of children able to be provided with education and care after school is 75 The maximum number of children able to be provided with education and care before school is 64 The maximum number of children able to be provided with education and care during school holidays is 75 This service is approved to provide education and care to children from over preschool age including school age children.,100,10/31/13,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,https://kuluinss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,"""ages 5 years to 12 years""",,"""BSC: 7.00am - 8.45am, ASC: 3.00pm - 6.00pm, VC: 8.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00000631,PR-40000269,Long Day Care,Little Ducklings Maroochy,AJ Learning Centre Pty Ltd,6 Denna Street  ,MAROOCHYDORE,QLD,4558,07 5479 4000,5479 6084,maroochy@littleducklings.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/3/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.littleducklings.com.au/mooroochy.html,"""ages 6 weeks to 12 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001767,PR-40000269,Long Day Care,Little Ducklings Riverside,AJ Learning Centre Pty Ltd,22A Denna Street   ,MAROOCHYDORE,QLD,4558,5479 4190,54794191,riverside@littleducklings.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternative solution relating to Performance Criteria P7 Toilet facilities within SP5.4 – Child Care Centres of the Queensland Development Code (with a publication date of 1 September 2003) applies to this service. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,10/7/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.littleducklings.com.au/riverside.html,"""ages 6 weeks to 12 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00000695,PR-00000980,Long Day Care,McKenzie Day Care Of Auz,CJC Australia Pty Ltd ,20 Blanck Street  ,MAROOCHYDORE,QLD,4558,07 5479 4111,07 5479 6377,mckenzie@daycareofauz.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,55,3/5/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.daycareofauz.com.au,"""ages 15 months to 5 years""",,6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001417,PR-00000232,Short Day Care,Memorial Park Community Kindergarten Assn Inc,Memorial Park Community Kindergarten Assn Inc.,19 Second Avenue  ,MAROOCHYDORE,QLD,4558,07 5443 1661,07 5443 1463,mail@memparkmaroochy.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,50,7/19/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.memparkmaroochy.com/,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $22.17""",8.30am - 2.30pm,,,,,,T,F,,,,,,,,,,,,,,
SE-40001692,PR-00001030,Out of Hours Care,Helping Hands Suncoast,Helping Hands Network Pty Ltd,Suncoast Christian College  7-13 Kiel Mountain Rd,WOOMBYE,QLD,4559,411216796,,libbyk@helpinghandsnetwork.com.au, This service is approved to provide education and care to 30 children from over preschool age up to and including school children before school after school and during school holidays.,30,1/30/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00001980,PR-00000561,Long Day Care,Nambour Christian College Early Learning Centre,Nambour Christian College Ltd,2-22 McKenzie Road   ,WOOMBYE,QLD,4559,5451 3310,53351624,preprepdirector@ncc.qld.edu.au, This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,49,2/1/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.ncc.qld.edu.au/curriculum/pre-prep/,"""ages 36 months to 5 years""","""36 months - 5 years: $74.00""",7.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00013962,PR-00000561,Out of Hours Care,Nambour Christian College School Age Care ,Nambour Christian College Ltd,2-22 McKenzie Road   ,WOOMBYE,QLD,4559,54513310,53351624,preprepdirector@ncc.qld.edu.au, This service is approved to provide education and care to children from over preschool age including school  children.,30,12/17/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.ncc.qld.edu.au/enrolment/before-after-school-care/,"""ages 5 years to 12 years""","""ASC: $15.00, VC: $57.00""","""ASC: 2.45pm - 6.00pm, VC: 7.00am - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00001220,PR-00000659,Out of Hours Care,PCYC Sunshine Coast - Woombye School Age Care,Queensland Police-Citizens Youth Welfare Association ,Woombye State School  95 Pine Grove Road,WOOMBYE,QLD,4559,5442 1023,5442 1083,rhonda.burns@pcyc.org.au; jodie.burns@pcyc.org.au, The maximum number of children able to be provided with education and care during school holidays is 45  The maximum number of children able to be provided with education and care before school is 30  The maximum number of children able to be provided with education and care after school is 55  This service is approved to provide education and care to children from over preschool age including school age children.,55,4/12/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://pcyc.org.au/School-Age-Care/Sunshine-Coast-Woombye.aspx,"""ages 5 years to 12 years""","""BSC: $18.00, ASC: $23.00, VC: $50.00""","""BSC: 7.00am - 9.00am, ASC: 3.00pm - 6.00pm, VC: 7.00am - 6.00pm""",T,,,,,,,,T,,,,,,,,,,,,
SE-00002180,PR-00000783,Long Day Care,Suncoast Little Learners ,Christian Outreach Centre,Cnr Schubert and Kiel Mountain Roads  ,WOOMBYE,QLD,4559,5451 3648,07 5442 2212,fskinner@suncoastcc.qld.edu.au, This service is approved to provide education and care to children from 30 months up to and including over preschool age not including school children.,48,2/13/13,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.suncoastcc.qld.edu.au/little-learners.html,"""ages 30 months to 5 years""",,7.30am - 5.30pm,,,,,,,,,,,,,,,,,,,,,
