ServiceName,ServiceAddress,Suburb,State,Post Code,Phone Number,Email Address,Website,Fees,Disposable Nappies,Cloth Nappies,Food,Hours,Age,Bus service,Air conditioning
Avenues Early Learning Centre Bowen Hills,45 Folkestone St,Bowen Hills,QLD,4006,07 38524666,,,,,,,,,,,,
Bald Hills Child Care Centre,2041 Gympie Rd,Bald Hills,QLD,4036,07 32616991,bhcc1@live.com.au,,,,,,,,,,,
Bambi Child Care,19 Dornie Pl,Fig Tree Pocket,QLD,4069,07 33782298,,,,,,,,,,,,
Bambini Early Childhood Development - Brisbane,33 Mt Cotton Road,Capabala,QLD,4157,07 3245 3055,capalaba@bambiniecd.com.au,,,,,,,,,,,
Banyo Early Learning Academy,Cnr Royal Pde & St Vincents Rd,Banyo,QLD,4014,07 32676480,,,,,,,,,,,,
Bay Cottage & Bay View Early Learning Centres,477 Old Cleveland Rd East,Birkdale,QLD,4159,07 38224444,,,,,,,,,,,,
Bay House Early Education,120 Princess St,Cleveland,QLD,4163,07 38214744,,,,,,,,,,,,
Bay Island Early Learning & Care Pty Ltd,72 High Central Rd,Macleay Island,QLD,4184,07 34094433,,,,,,,,,,,,
Bayside College Early Childhood Centre,29 Windemere Rd,Alexandra Hills,QLD,4161,07 38245633,,,,,,,,,,,,
Bayside Kids Education Centre,121 Cross St,Deception Bay North,QLD,4508,07 32049755,,,,,,,,,,,,
Bayside Park Early Education Centre,16 Weippin St,Cleveland,QLD,4163,07 34880180,,,,,,,,,,,,
Beehive Kindy,15 Pikett St,Clontarf Beach,QLD,4019,07 38832668,beef@westnet.com.au,,,,,,,,,,,
Bellbowrie Early Education Centre,Cnr Church & Kangaroo Gully Rd,Bellbowrie,QLD,4070,07 32029100,,,,,,,,,,,,
Belmont Child Care & Kindergarten Centre,Cnr Thurston St & Belmont Rd,Belmont,QLD,4153,07 33905797,bcckc@telstra.com,,,,,,,,,,,
Bethania Early Education Centre,66 Station Rd,Bethania,QLD,4205,07 38051375,,,,,,,,,,,,
Bimbadeen Drive Child Care Centre,1-3 Bimbadeen Drive,Loganholme,QLD,4129,07 3801 3644,,http://www.tanahmerahchildcare.com.au/,,N,N,Y,6:30am - 6:30pm,15 months - 12 years,N,Y,,
Birdwood Childrens Development and Care.,197 Birdwood Rd,Tarragindi,QLD,4121,07 33942830,,,,,,,,,,,,
Birkdale Early Childhood & Development Centre,435 Old Cleveland Road East,Birkdale,QLD,4159,07 38225933,,,,,,,,,,,,
Birkdale South Children's Centre,20 Barron Rd,Birkdale,QLD,4159,07 38222451,bsccc@bigpond.net.au,,,,,,,,,,,
Blackwood Street Child Care Centre,Blackwood St,Mitchelton,QLD,4053,07 33541244,admin.mcpa@optusnet.com.au,,,,,,,,,,,
Blackwood Street Child Centre,117 Blackwood St,Mitchelton,QLD,4053,07 38551521,admin.mcpa@optusnet.com.au,,,,,,,,,,,
Boondall Early Learning Centre,2345 Sandgate Rd,Boondall,QLD,4034,07 38653323,,,,,,,,,,,,
Boronia Child Care Centre,"Griffith University, Recreation Rd",Nathan,QLD,4111,07 37355353,,,,,,,,,,,,
Boronia Heights Children's Centre,118 MacKellar Drv,Boronia Heights,QLD,4124,07 38008918,,,,,,,,,,,,
Bracken Ridge Child Care & Education Centre,174 Norris Rd,Bracken Ridge,QLD,4017,07 32613825,,,,,,,,,,,,
Bribie Island Child Care Centre,"13 Third Ave, Bongaree",Bribie Island,QLD,4507,07 34080666,,,,,,,,,,,,
Bribie Island Child Care Centre.,13 Third Ave,Bongaree,QLD,4507,07 34080666,,,,,,,,,,,,
Bright Beginnings Child Edu-Care Centre,687 Hamilton Rd,Chermside West,QLD,4032,07 33504300,,,,,,,,,,,,
Bright Horizons Australia Childcare,2 Lipscombe Rd,Deception Bay,QLD,4508,07 32032999,,,,,,,,,,,,
Bright Horizons Childcare & Pre-School Centre,Graham Rd,Morayfield,QLD,4506,07 54979900,,,,,,,,,,,,
Bright Start Child Care Centre,4 Buckley Drv,Drewvale,QLD,4116,07 38006566,,,,,,,,,,,,
Bright Start Child Care Centre,50 - 54 Paradise Rd,Slacks Creek,QLD,4127,07 33860870,,,,,,,,,,,,
Brighton Child Care & Preschool Centre The,10 Nathan St,Brighton,QLD,4017,07 32691242,,,,,,,,,,,,
Brighton Rd Child Care,Brighton Rd,Brighton,QLD,4017,07 32691937,,,,,,,,,,,,
Brisbane Adventist College Early Learning Centre,303A Broadwater Rd,Mansfield,QLD,4122,07 3347 6403,elc@bac.qld.edu.au,,,,,,,,,,,
Brisbane Christian College Pre-Prep Centre,28 Rookwood Avenue,Coopers Plains,QLD,4108,07 3719 3111,ltanzer@brisbanechristiancollege.com.au,,,,,,,,,,,
Brisbane City Child Care,86 Astor Tce,Brisbane,QLD,4000,07 38321219,bccc1@bigpond.net.au,www.bccc.net.au,,,,,,,,,,
Brookfield Early Childhood Centre,593 Brookfield Rd,Brookfield,QLD,4069,07 33740689,,,,,,,,,,,,
Brookside Child Care Centre,180 Osborne St,Mitchelton,QLD,4053,07 33555455,brookside@kal.net.au,www.brookspoolsandspas.com,,,,,,,,,,
Browns Plains Child Care Centre,5 Trebeck St,Browns Plains,QLD,4118,07 38004981,admin@bpccc.com,,,,,,,,,,,
Building Blocks Childcare Centre,33 Brae St,Wavell Heights,QLD,4012,07 36305444,,www.buildingblocks.net.au,,,,,,,,,,
Building Blocks Early Education Cetre,15 High St,Forest Lake,QLD,4078,07 37237788,forest@buildingblocks.net.au,www.buildingblocks.net.au,,,,,,,,,,
Building Futures Montessori,33 Brae St,Wavell Heights,QLD,4012,07 36305444,wavellheights@buildingfutures.com.au,,,,,,,,,,,
Building Futures Montessori,15 High St,Forest Lake,QLD,4078,07 33728652,forestlake@buildingblocks.com.au,www.buildingfutures.com.au,,,,,,,,,,
Bumper Bears Early Learning Centre,401 Elizabeth Ave,Kippa-Ring,QLD,4021,07 32837700,,www.bumperbears.com.au,,,,,,,,,,
Burpengary Babyland,3 Joyce St,Burpengary,QLD,4505,07 38885511,,,,,,,,,,,,
Burpengary Meadows Childcare Educentre.,Cnr Rowley Rd & Laurel Drive,Burpengary,QLD,4505,07 38867094,,,,,,,,,,,,
Burpengary Prep & Creche,6- 10 David St,Burpengary,QLD,4505,07 38885566,prep@burpengarychildcare.com,www.burpengarychildcare.com,,,,,,,,,,
Butterfly Childcare,399 Manly Rd,Manly West,QLD,4179,07 39066500,info@butterflychildcare.com.au,www.butterflychildcare.com.au,,,,,,,,,,
C & K Wagner Rd Early Childhood Centre,32 Wagner Rd,Clayfield,QLD,4011,07 32626580,wagnerrdeccandk@bigpond.com,http://www.candk.asn.au/wagnerroad,,N,N,Y,8:00 - 3:30pm,15 months - 5 years,,,,
C & K Yuingi Community Child Care Centre,113 Cliveden Ave,Oxley,QLD,4075,07 32782092,,,,,,,,,,,,
C & K Yuingi Community Childcare Centre,113 Cliveden Ave,Oxley,QLD,4075,07 3278 2092,yuingi@candk.asn.au,7.00am to 6.00pm,85.3,,,Y,7.00am to 6.00pm,,,,,
C&K Caboolture Tafe,54 Bradman St,Caboolture,QLD,4510,07 54983542,,,,,,,,,,,,
C&K Kelvin Grove Community Childcare Centre,185 Herston Rd,Herston,QLD,4006,07 32525059,,,,,,,,,,,,
C&K Mt Gravatt West Community Childcare Centre,43b Clough St,Mount Gravatt West,QLD,4122,07 38495922,,,,,,,,,,,,
C&K Newmarket Community Childcare Centre,8 Baradine St,Newmarket,QLD,4051,07 33567333,,,,,,,,,,,,
C&K Northside Family Day Care,14 Edmonston St,Newmarket,QLD,4051,07 35525361,,,,,,,,,,,,
C&K QUT Carseldine Community Childcare,532 - Gate 1 Carseldine Campus Beams Rd,Carseldine,QLD,4034,07 38630874,,,,,,,,,,,,
C&K QUT Kelvin Grove Community Childcare Centre,9 School St,Kelvin Grove,QLD,4059,07 33524956,,,,,,,,,,,,
C&K Salisbury Community Childcare Centre,42 Frewin St,Salisbury,QLD,4107,07 32744277,,,,,,,,,,,,
C&K Valley Community Childcare Centre,29 Robertson St,Fortitude Valley,QLD,4006,07 38521288,,,,,,,,,,,,
C&K Wilston Community Childcare Centre,250 Newmarket Rd,Wilston,QLD,4051,07 33563067,,,,,,,,,,,,
Calamvale Child Care Centre,421- 425 Gowan Rd,Calamvale,QLD,4116,07 32735801,calamcc@tpg.com.au,www.calamvalechildcc.citysearch.com.au,,,,,,,,,,
Calamvale Childcare & Development Centre,38 Nottingham Rd,Calamvale,QLD,4116,07 32726455,calamvale@kal.net.au,,,,,,,,,,,
Calamvale Early Learning Centre,17 Hamish St,Calamvale,QLD,4116,07 37117270,,,,,,,,,,,,
Camelot Child Care Centre,228 Logandale Blv,Loganholme,QLD,4129,07 32877100,,,,,,,,,,,,
Camp Hill Child Care Centre.,Ara St,Camp Hill,QLD,4152,07 33987830,,,,,,,,,,,,
Campus Kindergarten After School Care,384 Swann Rd,St Lucia,QLD,4067,07 33716947,,,,,,,,,,,,
Cannon Hill Early Learning Centre,1025 Wynnum Rd,Cannon Hill,QLD,4170,07 33998079,cannonhill@kal.net.au,www.kal.net.au,,,,,,,,,,
Capalaba Kids Early Learning Centre,155 Mount Cotton Rd,Capalaba,QLD,4157,07 3245 1277,director2@capalabakids.com.au,,70,Y,,Y,6:00am - 6:00pm,,,,,
Care For Kyds,36 Villiers Street,New Farm,QLD,4005,073358 3506,newfarmoshc@bne.centacare.net.au,,,,,,,,,,,
Carina Child Care Centre,202 Gallipoli Rd,Carina,QLD,4152,07 33950744,jenny.proellocks@aue.salvationarmy.com.org,www.salvos.org.aucarindale,,,,,,,,,,
Carina Heights Child Care & Development,35 Gallipoli Rd,Carina Heights,QLD,4152,07 3398 1600,director@chccd.com.au,http://www.chccd.com.au/,83.5,Y,N,Y,7:00am - 6:00pm,6 weeks - 4 years,N,Y,,
Centenary Childcare & Early Education Centre,15 Loffs Rd,Mount Ommaney,QLD,4074,07 32794448,jin@childcare.com.au,,,,,,,,,,,
Centenary Kindergarten & Pre-school,15 Loffs Rd,Mount Ommaney,QLD,4074,07 32794448,info@centenarychildcare.com.au,www.centenarychildcare.com.au,,,,,,,,,,
Charlies Child Care,3 Joyce St,Burpengary,QLD,4505,07 38885511,,,,,,,,,,,,
Chatswood Road Child Care Centre.,89 Chatswood Rd,Daisy Hill,QLD,4127,07 38082420,,,,,,,,,,,,
Chatterbox Child Development & Care Centre Carina,93 Zahel St,Carina,QLD,4152,07 33988208,admin@chatterboxchildcare.com.au,www.chatterboxchildcare.com.au,82,Y,N,Y,7:00am - 6:00pm,6 weeks - 4 years,N,Y,,
Chatterbox Child Development & Care Centre Jindalee,110 Burrendah Rd,Jindalee,QLD,4074,07 32793133,jindalee@chatterboxchildcare.com.au,www.chatterboxchildcare.com.au,82,Y,N,Y,7:00am - 6:00pm,6 weeks - 4 years,N,Y,,
Chatterbox Child Development & Care Centre McDowell,51 Landis St,Mcdowall,QLD,4053,07 33533536,mcdowall@chatterboxchildcare.com.au,http://www.chatterboxchildcare.com.au/html/_findUs.html#mcdowall,82,Y,N,Y,7:00am - 6:00pm,6 weeks - 4 years,N,Y,,
Chatterbox Child Development & Care Centre Paddington,24 Guthrie Street,Paddington,QLD,4064,07 3217 5233,paddington@chatterboxchildcare.com.au,www.chatterboxchildcare.com.au,92,Y,N,Y,7:00am - 6:00pm,6 weeks - 5 years,N,Y,,
Chatterbox Child Development & Care Centres Albany Creek,2 Narrabeen Road,Albany Creek,QLD,4035,07 3325 5143,albanycreek@chatterboxchildcare.com.au,http://www.chatterboxchildcare.com.au/html/_findUs.html#albanycreek,84,Y,N,Y,7:00am - 6:00pm,6 weeks - 5 years,N,Y,,
Chatterbox Child Development & Care Centres Aspley,24A Riordan St,Aspley,QLD,4034,07 32633443,admin@chatterboxchildcare.com.au,www.chatterboxchildcare.com.au,,Y,N,Y,7:00am - 6:00pm,6 weeks - 5 years,N,Y,,
Chatterbox Kindergarten & Child Care Centre Taringa,11 Rokeby Tce,Taringa,QLD,4068,07 37195544,admin@chatterboxchildcare.com.au,http://www.chatterboxchildcare.com.au/html/_findUs.html#taringa,87,Y,N,Y,7:00am - 6:00pm,6 weeks - 5 years,N,Y,,
Chermside Early Education Centre,24 Kuran St,Chermside,QLD,4032,07 33591899,,,,,,,,,,,,
Cherubs On Leichhardt,11- 13 Leichhardt St,Logan Central,QLD,4114,07 38089888,cherubsonleichhardt@bigpond.com,,,,,,,,,,,
Children @ Bay Terrace,40 Bay Tce,Wynnum,QLD,4178,07 33963831,director@childrenatbayterrace.com,www.childrenatbayterrace.com,,,,,,,,,,
Childrens Centre Of Beenleigh The,10 Phillip St,Beenleigh,QLD,4207,07 38075297,beenleigh@kal.net.au,www.kal.net.au,,,,,,,,,,
Churches of Christ Care,41 Brookfield Rd,Kenmore,QLD,4069,07 33271600,care@cofcqld.com.au,www.care.cofcqld.com.au,,,,,,,,,,
Churches of Christ Care Early Childhood Centre Kallangu,116 Ann St,Kallangur,QLD,4503,07 32046000,kallangurcecc@cofcqld.com.au,,,,,,,,,,,
Churches of Christ Care Kiah Occasional Early Childhood,15- 17 Intrepid St,Jamboree Heights,QLD,4074,07 32791575,,,,,,,,,,,,
Churches of Christ Care Limited Hours Early Childhood C,28 Malcolm St,Hawthorne,QLD,4171,07 33996212,,,,,,,,,,,,
Citipointe Childcare,322 Wecker Rd,Mansfield,QLD,4122,07 38495238,,,,,,,,,,,,
City Child Care,95 Brookes St,Fortitude Valley,QLD,4006,07 32529911,,,,,,,,,,,,
Clayfield Childcare & Kindergarten Association,32 Wagner Rd,Clayfield,QLD,4011,07 32626580,,,,,,,,,,,,
Clayfield Childhood Development Centre,32 Widdop St,Clayfield,QLD,4011,07 32625444,director@clayfieldchildhoodcentre.com.au,www.clayfieldchildcare.com.au,,,,,,,,,,
Clayfield Early Childhood,68- 70 Gellibrand St,Clayfield,QLD,4011,07 32607044,,,,,,,,,,,,
Clayfield Early Learning Centre.,23 Norman Pde,Clayfield,QLD,4011,07 32628300,,,,,,,,,,,,
Cleveland Kidz X-Press Childcare Centre,Cnr Waterloo & Queen Sts,Cleveland,QLD,4163,07 38213511,kidzx-press@bigpond.com,,,,,,,,,,,
Clontarf World of Learning,336 Elizabeth Ave,Clontarf Beach,QLD,4019,07 38832230,learn@worldoflearning.com.au,www.worldoflearning.com.au,,,,,,,,,,
Communify Childcare,180 Jubilee Tce,Bardon,QLD,4065,07 35102711,,,,,,,,,,,,
Community Kids Enoggera,62 Sicklefield St,Enoggera,QLD,4051,07 33552255,,,,,,,,,,,,
Compton Early Education Centre.,PO Box 1845,Sunnybank Hills,QLD,4109,07 32721822,,,,,,,,,,,,
Compton Road Child Care Centre,70 Condamine St,Runcorn,QLD,4113,07 32721822,comptonrcc@optusnet.com.au,,,,,,,,,,,
Coopers Plains Child Care Centre,56 Orange Grove Rd,Coopers Plains,QLD,4108,07 33446270,julie@cpcc.com.au,www.cpcc.com.au,,,,,,,,,,
Coorparoo Child Care Centre,66 Halstead St,Coorparoo,QLD,4151,07 38474337,info@cooroyvets.com.au,www.cooroyvets.com.au,,,,,,,,,,
Play & Learn Early Learning Centre Cornubia ,2- 4 Vincent St,Cornubia,QLD,4130,07 38011211,,http://cornubia.playandlearn.com.au/,74,Y,N,Y,6:30am - 6:30pm,6 weeks - 6 years,,,,
Corporate Care Australia Pty Ltd,62 Beaconsfield,Gordon Park,QLD,4031,07 33265600,,,,,,,,,,,,
Creative Garden Early Learning Centres,17 Approach Rd,Banyo,QLD,4014,07 32678980,creativegardenbanyo@bigpond.com,www.creativegarden.com.au,,,,,,,,,,
Creative Kids,195 Elizabeth Ave,Clontarf Beach,QLD,4019,07 32840739,creativekids@optusnet.com.au,,,,,,,,,,,
Crestmead Early Education Centre,2 Pine Grove Drv,Crestmead,QLD,4132,07 38034444,,,,,,,,,,,,
Cross Country Kids Childcare,1056 Winn Rd,Mount Samson,QLD,4520,07 32894713,,,,,,,,,,,,
Cross Country Kids Childcare,1056 Winn Rd,Mount Samson,QLD,4520,0422 083522,,,,,,,,,,,,
Crystal Waters Child Care Centre,Island Outlook Ave,Thornlands,QLD,4164,07 32869500,,,,,,,,,,,,
Cubby House Child Care Centres,177- 181 Payne Rd,The Gap,QLD,4061,07 33002227,gapcubbyhouse@kal.net.au,,,,,,,,,,,
Daisy Hill Early Learning Centre,155 Chatswood Rd,Daisy Hill,QLD,4127,07 32994594,daisyhill@kal.net.au,www.kal.net.au,,,,,,,,,,
Dakabin Child Care,64 Sheaves Rd,Kallangur,QLD,4503,07 38860555,,,,,,,,,,,,
Dameeli Children's World.,95 Hanover Drv,Alexandra Hills,QLD,4161,07 38246277,,,,,,,,,,,,
Deception Bay Child Care Centre 1,5-9 Monarch Drv,Deception Bay,QLD,4508,07 38885355,deceptionbay1@communitykids.net.au,,,,,,,,,,,
Dixi's Early Childhood - Pre-school Centre,3 Arlington Drv,Arana Hills,QLD,4054,07 38513577,mail@dixis.com.au,www.dixis.com.au,,,,,,,,,,
Dixi's Early Learning & Child Care Centre,3 Arlington Drv,Arana Hills,QLD,4054,07 38513577,mail@dixis.com.au,www.dixis.com.au,,,,,,,,,,
Durack Early Childhood & Preschool Centre,56 Durella St,Durack,QLD,4077,07 33729654,angelaw@childcaremanagement.com.au,www.durackearly.com.au,,,,,,,,,,
Durack Early Education & Pre School,56 Durella St,Durack,QLD,4077,07 33729654,angelaw@childcaremanagement.com.au,www.durackearly.com.au,,,,,,,,,,
Dux Early Learning,70 Elizabeth St,Acacia Ridge,QLD,4110,07 32774052,,,,,,,,,,,,
Eagleby Childen's Centre.,82 Fryers Rd,Eagleby,QLD,4207,07 38073222,,,,,,,,,,,,
Eagleby Eager Bees Child Care Centre,209 Fryar Rd,Eagleby,QLD,4207,07 38075042,,,,,,,,,,,,
Eagleby's Cubbyhouse For Kids,126 Riverhills Rd,Eagleby,QLD,4207,07 38074966,,,,,,,,,,,,
Early Education Centres,191 Pickering St,Enoggera,QLD,4051,07 33550120,pickeringst@earlyeducationcentres.com.au,,,,,,,,,,,
Early Education Centres,697 Hamilton Rd,Chermside West,QLD,4032,07 36305588,hamiltonrd@earlyeducationcentres.com.au,,,,,,,,,,,
Early Education Centres,Cnr South & Waterloo Sts (Oppos: Thornlands State School),Cleveland,QLD,4163,07 34882022,waterloost@earlyeducationcentres.com.au,,,,,,,,,,,
Early Learning Centre Loganholme,3944 Pacific Hwy,Loganholme,QLD,4129,07 38013062,,,,,,,,,,,,
Early Learning Services Victoria Point Child Care Centre 2,3 School Rd,Victoria Point,QLD,4165,07 32079666,victoriapoint2@earlylearningservices.com.au,http://www.earlylearningservices.com.au/centres/victoria-point-2-early-learning-centre/,80,Y,N,Y,6:15am - 6:15pm,6 weeks - 4 years,Y,,,
Early Learning Services Victoria Point Early Learning Centre 1,51 Grandis Crs,Victoria Point,QLD,4165,07 32076444,victoriapoint1@communitykids.net.au,http://www.earlylearningservices.com.au/centres/victoria-point-1-early-learning-centre/,80,Y,N,,6:15am - 6:15pm,15 months - 6 years,Y,,,
Educare on Anson,32- 34 Anson Rd,Wellington Point,QLD,4160,07 38221799,,,,,,,,,,,,
Eight Mile Plains Children's Centre,447- 449 Warrigal Rd,Eight Mile Plains,QLD,4113,07 38413350,,,,,,,,,,,,
Eight Mile Plains Early Learning Centre,526 Warrigal Rd,Eight Mile Plains,QLD,4113,07 34233879,8mileplains@kal.net.au,,,,,,,,,,,
Elizabeth Kindergarten,70 Elizabeth St,Acacia Ridge,QLD,4110,07 32774052,elizabethkindy@westnet.com.au,,,,,,,,,,,
Enoggera Child Care Centre,2 Taurama St,Enoggera,QLD,4051,07 33544633,,,,,,,,,,,,
Enoggera Early Education Centre,238 Pickering St,Enoggera,QLD,4051,07 33552099,,,,,,,,,,,,
Everton Park Child Care & Development Centre,25 Halle St,Everton Park,QLD,4053,07 33557844,director@evertonparkchildcare.com.au,www.evertonchildcare.com.au,,,,,,,,,,
Ferny Hills & Ferny Grove Early Childhood Centre,1 Hogarth Rd,Ferny Grove,QLD,4055,07 38510611,fernygrove1@creativeplay.net.au,www.creativeplay.net.au,,,,,,,,,,
FirstLearnings Child Care Centre,118 Link Rd,Victoria Point,QLD,4165,07 38207253,,,,,,,,,,,,
FirstLearnings Victoria Point,118 Link Rd,Victoria Point,QLD,4165,07 38207253,,www.firstlearnings.com.au,,,,,,,,,,
Footprints Sunnybank Child Care Centre,357 Beenleigh Rd,Sunnybank,QLD,4109,07 34238663,footprints@kal.net.au,,,,,,,,,,,
Forest Lake & Richlands Early Childhood Centre,567 Archerfield Rd,Richlands,QLD,4077,07 33729905,,,,,,,,,,,,
Forest Lake Childcare Centre,130 Woogaroo St,Forest Lake,QLD,4078,07 37237200,,,,,,,,,,,,
"Full of Beans Child Care, Kindergarten & Preschool",190 Birkdale Rd,Birkdale,QLD,4159,07 38224633,,,,,,,,,,,,
Funhouse Home Day Care,4 Redunca Pl,Moggill,QLD,4070,07 32027198,,,,,,,,,,,,
Gaythorne Community Kindergarten,34 Taurama St,Enoggera,QLD,4051,07 33556181,,www.candk.hsn.au,,,,,,,,,,
Gaythorne Community Limited Hours Care,34 Taurama St,Gaythorne,QLD,4051,07 33554193,,,,,,,,,,,,
Goodstart Boondall,73 Zillmere Rd,Boondall,QLD,4034,07 38651425,,http://www.goodstart.org.au/boondall,70,,,,6:30am to 6:00pm,6 weeks - 5 years,,,,
Goodstart Bray Park,4 Elmwood Drv,Bray Park,QLD,4500,07 38821477,bpw@goodstart.org.au,http://www.goodstart.org.au/centres/bray-park-elmwood-drive/services,72.8,N,N,S,6:45am - 6:15pm,15 months - 6 years,Y,,,
Goodstart Brisbane Central,"192 Ann St, Podium Level, Mincom Central Building",Brisbane,QLD,4000,07 32200522,mcm@goodstart.org.au,http://www.goodstart.org.au/centres/brisbane/services,95.8,Y,N,Y,6:15am - 6:15pm,6 weeks - 5 years,,,,
Goodstart Browns Plains Central,845 - 847 Wembley Rd,Browns Plains,QLD,4118,07 3800 4471,aab@goodstart.org.au,http://www.goodstart.org.au/centres/browns-plains-wembley-road/overview,71.8,Y,N,,6:30 am to 6:30 pm,6 weeks - 12 years,Y,,,
Goodstart Browns Plains Child Care Centre,839 Wembley Road,Browns Plains,QLD,4118,07 3809 2222,kdw@goodstart.org.au,http://www.goodstart.org.au/centres/browns-plains-browns-plains-road/overview,75.3,Y,N,N,6:30 am to 6:30 pm,0 months - 12 years,,,,
Goodstart Carindale,86 Bridgnorth St,Carindale,QLD,4152,07 33952122,cdl@goodstart.org.au,http://www.goodstart.org.au/centres/carindale/overview,77.2,Y,N,N,6:30am - 6:30pm,15mths - 12 years,,,,
Goodstart Early Learning Beaudesert - Brisbane Street,17-19 Brisbane Street,BEAUDESERT,QLD,4285,07 5541 2415,bea@goodstart.org.au,,,,,,,,,,,
Goodstart Early Learning Centre Albany Creek,36 Flamingo Drv,Albany Creek,QLD,4035,07 32646058,alc@goodstart.org.au,www.goodstart.org.au,,,,,7:00am - 6:00pm,,,,,
Goodstart Early Learning Centre Banksia Beach,20- 22 Orara Ave,Banksia Beach,QLD,4507,07 34086255,bri@goodstart.org.au,http://www.goodstart.org.au/centres/banksia-beach/overview,,,,,6:30am - 6:00pm,Y,,,,
