ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00002005,PR-00000081,Child care,The Prince Charles Hospital Early Education Centre ,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,The Prince Charles Hospital Grounds  Hamilton Road,CHERMSIDE,QLD,4032,07 3359 6082,07 3861 4014,princecharles@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,150,4/10/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 35 months: $81.00, 3 - 4 years: $75.00, 4 - 5 years: $70.00""",,T,F,F,,,F
SE-00001504,PR-00000055,School hours care,West Chermside C&K Pre-Prep Inc,West Chermside C and K Pre-Prep Inc,145 Maundrell Terrace  ,CHERMSIDE WEST,QLD,4032,07 3359 3398,420716447,candkkindy@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,2/8/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.westchermsidepre-prep.com.au/,4 - 5 years,"""4 - 5 years: $665 per term + $200 non-refundable enrolment fee""",8:40am - 2:50pm,F,F,F,,,F
SE-00002122,PR-00000693,"Child care, OSHC",Aspley Early Childhood Education Centre,The Uniting Church in Australia Property Trust (Q.),748 Robinson Road  ,ASPLEY,QLD,4034,07 3263 3411,07 3263 8731,director@aecec.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternative solution relating to Performance Criteria P6- Nappy Change Facilities within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,115,7/7/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://aecec.org.au/,6 weeks - 10 years,"""6 weeks - 12 months: $80.00, 13 - 35 months: $78.00, 3 - 4 years: $75.00, 4 - 5 years: $45.00, 5 - 10 years BSC: $13.00, 5 - 10 years ASC: $18.00""",7:00am - 6:30pm,T,T,F,,,T
SE-00001619,PR-40001112,Child care,Aspley Early Learning Centre,Affinity Education Group Limited,605 Robinson Road  ,ASPLEY,QLD,4034,07 3263 6104,07 3263 6918,aelc@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,12/10/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://aspleyearlylearning.com/,6 weeks - 5 years,"""6 weeks - 30 months: $78.00, 30 months - 5 years: $72.00""",7:00am - 6:00pm,F,F,F,,,F
SE-00001995,PR-40001112,Child care,Aspley Early Learning Centre No 2,Affinity Education Group Limited,605 Robinson Road  ,ASPLEY,QLD,4034,07 3863 1770,07 3863 1772,aelc2@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,2/2/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://aspleyearlylearning.com/,6 weeks - 3 years,"""6 weeks - 3 years:$ 72.00 - $78.00""",6:30am - 6:00pm,F,F,F,,,F
SE-00001262,PR-00000498,School hours care,Aspley East Kindergarten and Pre School,Aspley East Kindergarten and Preschool Association Inc,12 Clorane Street  ,ASPLEY,QLD,4034,07 3263 3292,07 3863 3909,admin@aspleyeastkindy.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,50,11/17/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/aspleyeast,3.5 - 4.5 years,"""4 - 5 years: $660 per term + $11.00 waitlist fee + $110.00 enrolment fee""",8:45am - 2:50pm,F,F,F,F,,F
SE-00000036,PR-00007776,Child care,Boondall Early Childhood Centre,Jubarlee Enterprises Pty Ltd ATF The Longden Family Trust And Feng Holdings Pty Ltd ATF The Feng Family Trust ,73 Zillmere Road  ,BOONDALL,QLD,4034,07 3865 1492,,director@boondallchildcarecentre.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in the place of regulation 123(1)(a) until 31 December 2017.,167,11/29/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.goodstart.org.au/centres/aspley/overview,6 weeks - 5 years,"""6 weeks - 12 months: $ 82.70, 13 - 24 months: $80.60, 25 months - 5 years: $73.40""",7:00am - 6:00pm,F,T,F,,,F
SE-00001284,PR-00000137,School hours care,Boondall Kindergarten,Boondall Kindergarten Association Inc,31 Carlyle Road  ,BOONDALL,QLD,4034,07 3265 5439,07 3265 5161,admin@boondallkindy.com.au, This service is approved education and care to children from 36 months up to and including over preschool age not including school children.,25,11/21/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.boondallkindy.com.au/,4 - 5 years,"""4 - 5 years: $26.00 per day + $139.00 enrolment fee + $100.00 participation bond (refundable) + $11.00 membership fee""",8:45am - 2:45pm,F,F,F,,,T
SE-00000270,PR-00008029,Child care,C&K Carseldine Community Child Care Centre,The Creche and Kindergarten Association Limited,Carseldine Campus  Beams Rd,CARSELDINE,QLD,4034,07 3863 0874,07 3263 8150,carseldine@candk.asn.au, The service is approved to provide education and care to children from birth up to and including school children. The service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until December 2017.,60,1/13/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/qutcarseldine,6 weeks - 5 years,"""6 weeks - 23 months: $87.40, 24 - 35 months: $85.30, 3 - 5 years: $85.30""",7:00am - 6:00pm,F,F,F,,,T
SE-00000796,PR-00008029,"Child care, OSHC",C&K Northside Family Day Care Scheme,The Creche and Kindergarten Association Limited,Cnr Maundrell Tce and Horn Rd   ,ASPLEY,QLD,4034,07 3263 1225,07 3352 6266,nfdc@candk.asn.au,,0,6/4/10,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,http://www.candk.asn.au/northsidefdc,6 weeks - 12 years,,,,,,,,T
SE-00002310,PR-00002539,OSHC,Camp Australia - Aspley State School,Camp Australia Pty Limited,Cnr Maundrell Terrace and Horn Road  ,ASPLEY,QLD,4034,0412 203 004,07 3112  1988,qldaspley@oshccampaustralia.com.au, This service is approved to provide education and care to children from over preschool age including school children.,100,5/19/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://aspleyss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $12.40 - $14.40, ASC: $17.75 - $19.75, VC: $40.00 - $59.30""","""BSC: 6:30 - 8:45am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001981,PR-00000901,Child care,Chatterbox Child Development and Care Centres - Aspley,Chatterbox Holdings Pty Ltd ATF Aspley Chatterbox Trust,24A Riordan Street  ,ASPLEY,QLD,4034,07 3263 3443,07 3863 0781,aspley@chatterboxchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,75,2/22/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,www.chatterboxchildcare.com.au,6 weeks - 5 years,,7:00am - 6:00pm,T,T,F,,,F
SE-00001356,PR-00000484,School hours care,Geebung Kindergarten and Pre School,Geebung Kindergarten and Pre School Association Inc,Maidencombe Street  ,GEEBUNG,QLD,4034,07 3265 6609,,geebungkindy@optusnet.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,49,1/4/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.candk.asn.au/geebung,3.5 - 4.5 years,"""4 - 5 years: $26.00 per day + $100.00 enrolment fee + $11.00 membership fee""",8:20am - 2:30am,F,F,F,,,F
SE-00001181,PR-00000397,OSHC,Geebung State School Outside School Hours Care,Geebung State School P & C Association,250 Newman Road  ,GEEBUNG,QLD,4034,07 3865 8971,07 3865 5022,geebungpc.oshc@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,70,12/7/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,5 - 12 years,"""BSC: $11.00, ASC: $16.00, VC: $37.00""","""BSC: 7:00 - 9:00am, ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""",F,F,F,,,F
SE-00000035,PR-00001129,Child care,Goodstart Early Learning Aspley,Goodstart Early Learning Ltd,792 Zillmere Road  ,ASPLEY,QLD,4034,07 3263 6808,,asp@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including preschool age not including school children.,74,11/29/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.goodstart.org.au/centres/aspley/overview,6 weeks - 5 years,"""6 weeks - 12 months: $82.70, 13 - 24 months: $80.60, 25 - 35 months: $73.40, 3 - 5 years: $73.40""",7:00am to 6:00pm,F,T,F,,,F
SE-00001065,PR-00000250,OSHC,Jabiru Kids Boondall,Jabiru Community Youth & Children's Services Association Inc,Boondall State School  Cnr Sandgate & Roscommon Roads,BOONDALL,QLD,4034,07 3265 4279,07 3265 4279,boondall@jabiru.org.au, An approved alternative solution relating to Perfomance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a pulication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,80,9/1/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.jabiru.org.au/kids/about/boondall/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC:$45.90""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001246,PR-00000250,OSHC,Jabiru Kids Zillmere,Jabiru Community Youth & Children's Services Association Inc,Zillmere State School  Murphy Road,ZILLMERE,QLD,4034,0438 542 655,,zillmerejkc@jabiru.org.au, This service is approved to provide eduation and care to children before and after school only. This service is approved to provide education and care to children from over preschool age including school children.,30,9/30/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.jabiru.org.au/kids/about/zillmere/,5 - 12 years,"""BSC: $12.00, ASC: $18.20, VC:$45.90""","""BSC: 6:30 - 8:30am, ASC: 2:30 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001833,PR-00000823,Child care,Lizards Early Learning Centre,Guardian Community Early Learning Centres Pty Ltd,1239 Gympie Road  ,ASPLEY,QLD,4034,07 3862 9133,,management@lizardselc.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,150,11/5/11,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,www.lizardselc.com.au,6 weeks -  5 years,"""6 weeks - 12 months: $86.00, 13 - 24 months: $84.00, 25 - 35 months: $82.00, 3 - 5 years: $82.00""",6:30am - 6:30pm,T,T,F,,,T
SE-00001414,PR-00000645,School hours care,Marchant Park Kindergarten,Marchant Park Kindergarten Association Inc,50 Delaware Street  ,GEEBUNG,QLD,4034,07 3265 7028,,office@mpkindy.org, This service is approved to provide education and care to children from 36 months and including over preschool age not including school children.,25,9/9/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,http://www.candk.asn.au/marchantpark,3.5 - 4.5 years,"""4 - 5 years: $670.00 per term + $100.00 enrolment deposit + $50.00 refundable maintenance fee + $70.00 refundable working bee fee""",8:30am - 2:30pm,F,F,F,,,F
SE-00001042,PR-00000659,OSHC,PCYC Zillmere - Aspley East SAC,Queensland Police-Citizens Youth Welfare Association ,C/- Aspley East State School  Hopgood Street,ASPLEY,QLD,4034,07 3263 1584,07 3285 1333,aspleyeastsac@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,120,3/14/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://pcyc.org.au/School-Age-Care/PCYC-Zillmere-Aspley-East-School-Age-Care.aspx,5 - 12 years,"""BSC: $11.50, ASC: $15.50, VC: $43.00 + $20.00 membership fee""","""BSC: 6:30 - 8:45am, ASC: 2:55 - 6:00pm, VC: 6:30am - 6:00pm""",,F,F,,,T
