ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities?,Additional Activities,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology?,Technology,Sibling Priority,Vacancies,Languages?,Languages,Vaccinations Compulsory
SE-00002412,PR-00000692,Child care,Smarter Kids On George ,Preschool Services Australia Pty Ltd ATF Karen Williams Family Trust,400 George St   ,BRISBANE,QLD,4000,07 3211 2537,3211 2539,george@smarterkids.com.au, The vegetation and vertical gardens must be maintained with healthy live plants. Not more than 24 children are to access active play area 1 at any given time in building 1. Not more than 16 children to access active play area 2 at any given time in building 2. Educator to child ratios must be maintained in building 1 at all times including during a rest period in order to assist the safe evacuation of children. Programming must provide opportunities for children to participate and engage in activities that gives them access to natural materials and allows them to reflect on nature. At all times there are adequate numbers of additional staff available to assist in evacuations in building 2 This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including over preschool age not including school children.,89,11/7/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.smarterkids.com.au/,6 weeks - 6 years,"""0 - 2years: $114.00, 2 - 3years: $109.00, 3 - 6years: $102.00""",7:00am - 6:00pm,T,T,F,T,F,T,,,F,,,,,,,,,,,,"Y: 2 - 3 years, 3 - 5 years",,,
SE-00000874,PR-00000702,After school care,Care For Kyds,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services,36 Villiers Street ,NEW FARM,QLD,4005,07 3358 3506,,newfarmoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age includng school children. The service is approved to provide education and care to children after school and during school holidays.,65,7/3/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,over preschool age,"""Over preschool age: $18.00""",3:00pm - 6:00pm,T,F,F,,F,F,,,F,,,,,,,,,,,,,,,
SE-00001222,PR-00000250,After school care,Jabiru Kids  - New Farm,Jabiru Community Youth & Children's Services Association Inc,New Farm State School  Cnr James and Heal Streets,NEW FARM,QLD,4005,07 3254 1210,,newfarm@jabiru.org.au, An approved alternative solution relating to Perfomance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,59,9/14/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.jabiru.org.au/kids/about/new-farm/,over preschool age,"""Over preschool age: $18.20""",2:30pm - 6:00pm,T,F,F,,F,F,,,T,,,,,,,,,,,,,,,
SE-00000305,PR-00000243,Child care,Jack & Jill Child Care Centre,Dalcath Pty Ltd,955 Brunswick Street ,NEW FARM,QLD,4005,07 3358 4595,3358 1875,jackjillccc@hotmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:15pm to 2:15pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,64,12/28/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,15 months - 5 years,"""15months - 5years: $70.00""",6:45am - 6:00pm,F,F,F,,,F,,,,,T,language,,,,,,,,,Y: 3 - 5 years,,,
SE-00013991,PR-00006560,Child care,Avenues Early Learning Centre - Bowen Hills ,Kwei Brothers Pty Ltd ATF Kwei Brother's Trust And Cynas Childcare Pty Ltd ATF Cynas Childcare Trust and PM Wu Childcare Pty Ltd ATF PM Wu Childcare Trust and Wu and Kuo Childcare Pty Ltd ATF Wu and Kuo Childcare Trust,30 Jordan Terrace   ,BOWEN HILLS,QLD,4006,07 3852 4666,07 38524666,bh@avchildcare.com.au, This service is approved to provide education and care to children from birth up to and including school children. The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,150,1/1/12,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://avenueschildcare.com.au/locations/bowenhill/,6 weeks to 5 years,"""0 - 5years: $88.00""",7:00am - 6:00pm,T,T,F,,,F,,,F,,T,"music, language, arts",,,,,,T,smart board,,,,,
SE-00001265,PR-00000074,School hours care,Ballymore Kindergarten and Preschool,Ballymore Kindergarten and Preschool Association Inc,185 Butterfield Street  ,HERSTON,QLD,4006,07 3252 3732,07 3252 3351,director@ballymorekindy.com.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,5/24/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.ballymorekindy.com.au/,3.5 years - 4.5 years,"""3.5 - 4.5years:$27.00""",8:30am - 2:30pm,F,F,F,,F,T,$15.00,F,T,,,,,,T,,T,,,F,,,,
SE-00000054,PR-00008029,Child care,C&K Kelvin Grove Community Child Care Centre,The Creche and Kindergarten Association Limited,185 Herston Road  ,HERSTON,QLD,4006,07 3252 5059,07 3252 5290,kelvingrove@candk.asn.au, This service is approved to provide education and care to children from birth up to and incluidng over preschool age not including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,44,10/5/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/qutkelvingrove,6 weeks - 5 years,"""0 - 12months: $92.70, 13 - 24months: $92.70, 25 - 35months: $85.30, 3years - 5years: $85.30"" ",7:30am - 5:30pm,F,F,F,,F,T,,,F,,,,,,T,,,,,,"Y: 2 - 3 years, 3 - 5 years",,,
SE-00001701,PR-00001129,Child care,Goodstart Early Learning Fortitude Valley ,Goodstart Early Learning Ltd,95 Brookes Street  ,FORTITUDE VALLEY,QLD,4006,07 32529911,,kdt@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,139,11/29/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.goodstart.org.au/centres/fortitude-valley/overview,6 weeks -  5 years,"""0 - 12months: $91.20, 13 - 24months: $91.20, 25 - 35months: $91.10, 36months - preschool age: $88.90, over preschool age: $88.90""",6:30am - 6:30pm,T,T,F,,,F,,,F,,T,"dance, tumbling",,,T,,,T,computer,,"Y: 2 - 3 years, 30 months - 3 years",,,
SE-00000719,PR-00000886,Child care,Herston First Steps Child Care Centre,Mfa Medical Pty Ltd Clj Properties Pty Ltd and Fine Estates (Qld) Pty Ltd,120 Butterfield St  ,HERSTON,QLD,4006,07 3216 0944,07 3216 0924,herstonfirststep@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from birth up to and including school children.,96,2/21/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.herstonfirststeps.com.au/,6 weeks - 5 years,"""0 - 2years: $93.00, 2 - 5years: $86.00""",7:00am - 6:00pm,T,T,F,,,F,,,F,,T,"language, physikids classes",,,,,,,,,"Y: 0 - 15 months, 12 - 18 months, 18 months - 2 years, 2 - 5 years",,,
SE-00000046,PR-00000101,Child care,Lady Gowrie Love Street Child Centre,The Gowrie (Qld) Inc.,228 St Pauls Terrace  ,FORTITUDE VALLEY,QLD,4006,07 3257 7949,07 3252 2258,kylie.brown@ladygowrie.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,110,8/22/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.gowrieqld.com.au/childrens-programs/long-day-care/,6 weeks - 5 years,"""0 - 3years: $85.50, 3 - 5years: $80.50""",7:30am - 5:45pm,T,F,F,,F,F,$55.00,F,F,,,,,,,,,,,,Y: 4 - 5 years,,,
SE-00000799,PR-00000101,Child care,Lady Gowrie Queensland Family Day Care Scheme,The Gowrie (Qld) Inc.,7 Mallon Street   ,BOWEN HILLS,QLD,4006,07 3252 2667,07 3252 2258,jenni.burns@ladygowrie.com.au,,0,10/1/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.gowrieqld.com.au/childrens-programs/family-day-care/,6 weeks - 12 years,"""0 - 12years: $6.50 - $15 per hour""",,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-40000565,PR-00000533,Vacation care,YMCA Bowen Hills Vacation Care,The Young Men's Christian Association of Brisbane,95 Abbotsford Road  ,BOWEN HILLS,QLD,4006,07 3851 8800,,philip.lynem@ymca.org.au, This service is approved to provide education and care to children from over preschool age including school children. This service is approved to provide education and care to children during school holidays only.,50,5/9/13,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.ymcafitness.com/active-kids-holiday-program.html,5 - 15 years,"""5 - 15years: $45.00 - $55.00""",7:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00001590,PR-00000695,Child care,Ascot Early Childhood,Lion North Pty Ltd ATF The Felix 10 Trust,9 Alexandra Road  ,ASCOT,QLD,4007,07 3268 4377,,info@ascotearlychildhood.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,48,11/10/09,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.ascotearlychildhood.com.au/,15 months - 5 years,,7:30am - 5:30pm,F,F,F,T,,T,,,,T,,,,,T,,,,,,,,,
SE-00001259,PR-00008029,School hours care,C&K Ascot Community Kindergarten,The Creche and Kindergarten Association Limited,93 Kitchener Road   ,ASCOT,QLD,4007,07 3268 1801,,ascot@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,6/4/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.candk.asn.au/ascot,3.5 years - 4.5 years,,8:30am - 2:40pm,F,F,F,,,T,,,F,,,,,,T,,,,,,,,,
SE-00001209,PR-00002539,OSHC,Camp Australia- St Margaret's Ascot OSHC,Camp Australia Pty Limited,11 Petrie Street  ,ASCOT,QLD,4007,0412 154 429,07 3112 1988,qldstmargasc@oshccampaustralia.com.au, This service is approved to provide education and care to children after school and during school holidays. This service is approved to provide education and care to children from over preschool age including school children.,45,7/25/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.campaustralia.com.au/Service/QLDStMargaretsAscot/2047,5 -12 years,"""ASC: $21.86 - $26.86, VC: $51.00""","""ASC: 3:00 - 6:00pm, VC: 8:00am - 6:00pm""",T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00000681,PR-00000507,Child care,Hamilton House Early Childhood Centre,Silipo Pty Ltd,56 Kent St  ,HAMILTON,QLD,4007,07 3868 3081,07 3290 6119,hamiltonecc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,29,9/28/10,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,http://www.hamiltonhousechildcare.com.au/,6 weeks -  5 years,,7:00am - 6:00pm,T,F,F,T,,T,,,,,,,,,T,,,,,,,,,
SE-40000685,PR-00008135,,Kitchener Road Children's Centre,Kitchener Road Children's Centre Inc,77 Kitchener Rd  ,ASCOT,QLD,4007,07 3868 2726,38682704,kitchenerrd@bigpond.com, This service is approved to provide education and care to children from birth up to and including over preschool age not including school children. This service is approved to operate up to 20 hours per week.,21,1/1/13,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,2 - 5 years,"""2 - 5 years: $40""",,F,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002004,PR-00000024,After school care,St Margaret's Advent Centre,St Margaret's School Council Ltd,11 Petrie Street   ,ASCOT,QLD,4007,07 3862 0722,07 3262 5399,adrysdale@stmarg.qld.edu.au, This service is approved to provide education and care to children from children from 15 months up to and including school children,20,3/25/11,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,Provisional - not yet assesed,,5 - 12 years,"""5 - 12 years: $19.90""",3:00pm - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,,,,
SE-00002119,PR-00000838,Child care,Tadpoles Early Learning Centres - Brisbane Airport Centre ,Bhl Childcare Limited,2 The Boulevard  ,BRISBANE AIRPORT,QLD,4007,07 3114 7240,,airport@tadpoles.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,114,4/21/11,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.tadpoles.com.au/our-locations/tadpoles-brisbane-airport.html,6 weeks - 5 years,,6:30am - 6:30pm,T,T,F,T,F,F,,,,,,,,,,,,,,,,,,
