#
# Source: CA DSS on June 1, 2014
#
"Facility #","Capacity","License Status","Facility Name","Street Address","City","State","Zipcode","Telephone #","Contact","District Office","DO Telephone #"
"414002659","0030","Licensed","A CHILD'S WAY","817 MURCHISON DRIVE","MILLBRAE","CA","94030","(650) 697-4760","PAULA YAGINUMA, DIRECTOR","PENINSULA CHILD CARE (05)","(650) 266-8843"
"410503412","0037","Licensed","A CHILD'S WAY, AN EARLY LEARNING CENTER","801 HOWARD AVENUE","BURLINGAME","CA","94010","(650) 342-3460","ROTH-LAWSON, NANCI","PENINSULA CHILD CARE (05)","(650) 266-8843"
"376700273","0042","Licensed","A CHILDREN'S GARDEN - ENCINITAS","2241 WHISPER WIND LANE","ENCINITAS","CA","92024","(760) 942-2326","HORTON, CATHY","MISSION VALLEY (20)","(619) 767-2200"
"376700272","0044","Licensed","A CHILDREN'S GARDEN - LEUCADIA","1421 BURGUNDY ROAD","ENCINITAS","CA","92024","(760) 436-5370","HEATHER ADDY CRIDER","MISSION VALLEY (20)","(619) 767-2200"
"376700270","0042","Licensed","A CHILDREN'S GARDEN - VISTA","152 GRAPEVINE ROAD","VISTA","CA","92083","(760) 758-4960","PATRICIA TAYLOR","MISSION VALLEY (20)","(619) 767-2200"
"553617033","0021","Licensed","A CITY ON A HILL ACADEMY","11896 PONDEROSA LANE, SUITE #A","GROVELAND","CA","95321","(209) 962-6385","TAYLOR, SARAH","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"376600157","0046","Licensed/Pending Increase","A CREATIVE BEGINNING","1701 N. SANTA FE AVENUE","VISTA","CA","92084","(760) 945-0200","VICTORIA GOMEZ","MISSION VALLEY (20)","(619) 767-2200"
"483003110","0022","Licensed","A GARDEN OF CHILDREN (PRESCHOOL)","470 EAST O STREET","BENICIA","CA","94510","(707) 745-1996","DENISE MAHER","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"304370835","0030","Licensed","A GLOBAL VILLAGE PRESCHOOL & ACADEMY","28721 LOS ALISOS BLVD.","MISSION VIEJO","CA","92692","(949) 340-2614","FLORES, YVETTE","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"153808307","0031","Licensed","A GOOD TIME OUT","3400 CALLOWAY DRIVE, SUITE 501","BAKERSFIELD","CA","93312","(661) 410-8463","SHERMAN, MELANIE/KAREN","FRESNO-CC (04)","(559) 243-4588"
"198013605","0030","Licensed/Pending Increase","A GR8T BEGINNING ACADEMY","321 E. CARSON STREET","CARSON","CA","90745","(310) 847-5511","MICHELE DIXON","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"197418340","0030","Licensed","A HAPPY DAYS PRESCHOOL","11011 HAYVENHURST AVENUE","GRANADA HILLS","CA","91344","(818) 339-9557","LANDA, ALEXANDRA","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"198002315","0051","Licensed","A HIGHER LEARNING CDC CORPORATION","3581 E. IMPERIAL HWY","LYNWOOD","CA","90262","(310) 639-4708","WIIILIAMS, VICKY B.","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"013417683","0050","Licensed","A JOYFUL NOISE LEARNING CENTER","26555 GADING ROAD","HAYWARD","CA","94544","(510) 782-8593","NADAN, KAVISHA","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"197412575","0040","Licensed","A KID'S PLACE","12306 VENICE BOULEVARD","LOS ANGELES","CA","90066","(310) 390-0401","LEONARD, SUSAN","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197417707","0020","Licensed","A KID'S PLACE","12312 VENICE BLVD.","LOS ANGELES","CA","90066","(310) 390-0401","SUSAN B. LEONARD","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197417708","0020","Licensed","A KID'S PLACE","12318 VENICE BLVD.","LOS ANGELES","CA","90066","(310) 390-0401","SUSAN B. LEONARD","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"304370870","0040","Licensed","A KIDS PLACE","1180 SOUTH IDAHO ST. SUITE K","LA HABRA","CA","90631","(714) 626-0400","WRIGHT, SUZETTE","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"197418101","0030","Licensed","A LITTLE PATCH OF EARTH PRESCHOOL, INC.","24436 VALLEY STREET","NEWHALL","CA","91321","(661) 753-9023","SWIATEK, SALLY","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"073405005","0034","Licensed","A LITTLE WORLD MONTESSORI ACADEMY","355 PARKER AVE","RODEO","CA","94572","(510) 799-6361","SAMUDRA DE ALWIS","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"073406649","0055","Licensed","A LITTLE WORLD MONTESSORI SCHOOL","324 37TH ST","RICHMOND","CA","94805","(510) 412-2244","SUMADRA DE ALWIS","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"197419197","0041","Licensed","A MOTHER GOOSE ACADEMY","11849 BURBANK BLVD.","VALLEY VILLAGE","CA","91607","(818) 980-0118","JOHNSON, ELIZABETH","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197418825","0054","Licensed","A MOTHER GOOSE ACADEMY OF CHATSWORTH","10324 VARIEL AVENUE","CHATSWORTH","CA","91311","(818) 341-3288","MARGULETA, VIKTORIA","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"343617158","0030","Probationary","A NEW BEGINNING PRESCHOOL LEARNING CENTER","8540 MADISON AVENUE","FAIR OAKS","CA","95628","(916) 967-7827","WILLIAMS, NOVA","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"093619848","0022","Pending","A PLACE FOR ME PRESCHOOL & CHILDCARE","4400 SOUTH SHINGLE ROAD","SHINGLE SPRINGS","CA","95682","(916) 293-8877","TAYLOR, TIFFANY","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"283008506","0040","Licensed","A PLACE OF MY OWN","2590 FIRST STREET","NAPA","CA","94558","(707) 224-8667","BATOR, JENNIFER","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"376700703","0044","Licensed","A PLACE OF OUR OWN CHILD DEVELOPMENT CENTER","2355 E VALLEY PARKWAY","ESCONDIDO","CA","92027","(760) 737-8660","PEOPLES, FELICIA","MISSION VALLEY (20)","(619) 767-2200"
"434400191","0027","Licensed","A PLACE TO GROW","3001 ROSS AVENUE","SAN JOSE","CA","95124","(408) 265-2994","TERNIAN, FLANDA","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"543808649","0084","Licensed","A PLACE TO GROW MONTESSORI","3535 SOUTH AKERS","VISALIA","CA","93277","(559) 627-3535","VEDENOFF,BLAIR/CLANCY,NINA","FRESNO-CC (04)","(559) 243-4588"
"197417542","0030","Licensed","A PLACE TWO GROW, INC.","3770 SANTA ROSALIA DRIVE","LOS ANGELES","CA","90008","(323) 295-3114","CARSON, RACHELLE","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"376700207","0068","Licensed","A RISING STAR ACADEMY CHILDCARE CENTER, INC.","169 ROYMAR ROAD","OCEANSIDE","CA","92054","(760) 439-3344","ARMSTEAD, DESEREE","MISSION VALLEY (20)","(619) 767-2200"
"490110022","0030","Licensed","A SPECIAL PLACE","1128 EDWARDS AVENUE","SANTA ROSA","CA","95401","(707) 523-2337","THERESA PORTER","REDWOOD EMPIRE CC (01)","(707) 588-5026"
"430710250","0026","Licensed","A SPECIAL PLACE - CAMDEN (PRESCHOOL)","1260 ERIN WAY","CAMPBELL","CA","95008","(408) 559-1566","REBECCA BAZAN","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"500321346","0060","Licensed","A SPECIAL PLACE - TURLOCK","2490 N WALNUT","TURLOCK","CA","95380","(209) 667-0322","BAZAN, BECKY","FRESNO-CC (04)","(559) 243-4588"
"434406769","0036","Licensed","A SPECIAL PLACE TRINITY UNION","3151 UNION AVENUE","SAN JOSE","CA","95124","(408) 377-2342","MEHRAN MADANI","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"430709865","0042","Licensed","A SPECIAL PLACE- STEVENS CREEK","5041 STEVENS CREEK BLVD.","SANTA CLARA","CA","95051","(408) 249-3809","JOVITA GARZA","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"430709867","0058","Licensed","A SPECIAL PLACE- WILLIAMSBURG","3124 WILLIAMSBURG","SAN JOSE","CA","95117","(408) 374-4980","ALLEN, LINDA BETH","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"310310851","0048","Licensed","A STAR IS BORN","206 LINCOLN WAY","AUBURN","CA","95603","(530) 823-7827","PIPHER, LOUISE","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"503808363","0024","Licensed","A+ ACADEMICS PRESCHOOL","1934 G STREET","MODESTO","CA","95354","(209) 544-8194","BASFORD, SHANNON","FRESNO-CC (04)","(559) 243-4588"
"414002756","0030","Licensed","A+ IMMERSION PRESCHOOL","1501 SOUTH ""B"" STREET","SAN MATEO","CA","94402","(650) 292-0817","SHARON LAU, PRG.DIR.","PENINSULA CHILD CARE (05)","(650) 266-8843"
"343616631","0026","Licensed","A+ PRESCHOOL AND KIDS CLUB","3725 MARYSVILLE BLVD.","SACRAMENTO","CA","95838","(916) 286-8625","RAMSEY, DEBORAH","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"198007302","0048","Licensed","A.J. PADELFORD CHILD DEVELOPMENT CENTER","11922 169TH STREET","ARTESIA","CA","90701","(562) 926-2427","FLORES-ROLDAN, DORIS","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"103808817","0024","Licensed","A.L.CONNER STATE PRESCHOOL","222 4TH STREET","ORANGE COVE","CA","93646","(559) 305-7200","POWELL, SHERYL","FRESNO-CC (04)","(559) 243-4588"
"340317938","0024","Licensed","A.M. WINN PRESCHOOL","3351 EXPLORER DR","SACRAMENTO","CA","95827","(916) 228-5883","BOYD, MARY EILEEN","RIVER CITY (SACTO)CC (03)","(916) 263-5744"
"198003947","0030","Licensed","A.R.S.NAIRY DAY CARE CENTER","505 N. MORRIS PL.","MONTEBELLO","CA","90640","(213) 887-1636","BARSEGYAN, LILIT","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"013420892","0030","Licensed","A.U.S.D. - WOODSTOCK C.D.C. - HAIGHT","2025 SANTA CLARA AVE","ALAMEDA","CA","94501","(510) 748-4001","ARELLANO, CRISTINA","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"013420589","0150","Licensed","A.U.S.D.- WOODSTOCK CHILD DEVELOPMENT CENTER","500 PACIFIC AVENUE","ALAMEDA","CA","94501","(510) 748-4001","UFOEGBUNE, VERONICA","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
"434410812","0030","Licensed","AB'S PRESCHOOL","250 VIRGINIA AVENUE","CAMPBELL","CA","95008","(408) 866-6608","BAREFIELD & SNIDER","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"214005085","0026","Licensed","ABBEY MONTESSORI CHILDREN'S CENTER","8 N. SAN PEDRO ROAD","SAN RAFAEL","CA","94903","(415) 479-8865","COSTELO, ELIZABETH","PENINSULA CHILD CARE (05)","(650) 266-8843"
"213004840","0030","Licensed","ABBEY MONTESSORI CHILDREN'S CENTER - PRESCHOOL","138 N. SAN PEDRO ROAD","SAN RAFAEL","CA","94903","(415) 479-8865","COSTELO, ELIZABETH","PENINSULA CHILD CARE (05)","(650) 266-8843"
"198012426","0060","Licensed","ABBOTT PRESCHOOL","5260 E. CLARK STREET","LYNWOOD","CA","90262","(310) 603-2075","JONES, JEAN","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"198015878","0030","Licensed","ABC 123 LONG BEACH LEARNING CENTER","909 PINE AVENUE","LONG BEACH","CA","90813","(562) 951-1123","TIFFANY TRUONG","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"210105818","0040","Licensed","ABC ACADEMY PRESCHOOL","176 TUNSTEAD AVENUE","SAN ANSELMO","CA","94960","(415) 459-7611","HANDELIN, CAROLYN","PENINSULA CHILD CARE (05)","(650) 266-8843"
"198003340","0043","Licensed","ABC ANGELS PRESCHOOL","260 S. NEW HAMPSHIRE BOULEVARD","LOS ANGELES","CA","90004","(213) 738-8972","KUNG SOOK MIN","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"370805454","0056","Licensed","ABC BARN CHILDREN'S PLACE","10842 FURY LANE","LA MESA","CA","91941","(619) 670-3898","BLAKE, RONALD","MISSION VALLEY (20)","(619) 767-2200"
"334803016","0178","Licensed","ABC CHILD CARE CENTER","29705 SOLANA WAY","TEMECULA","CA","92591","(951) 699-5251","MALINDA SMITH","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"334814893","0216","Licensed","ABC CHILD CARE VILLAGE","40045 VILLAGE ROAD","TEMECULA","CA","92591","(951) 491-0940","MALINDA J. SMITH","INLAND EMPIRE CHILD (09)","(951) 782-4200"
"376600011","0094","Licensed","ABC CHILDREN'S CENTER OF RANCHO BERNARDO","12145 ALTA CARMEL CT.#270","SAN DIEGO","CA","92128","(858) 451-1663","SUSAN SPANGLER","MISSION VALLEY (20)","(619) 767-2200"
"197404420","0035","Licensed","ABC DAY CARE CENTER","42433 20TH STREET WEST","LANCASTER","CA","93534","(661) 943-7503","WALKER, ESTER J.","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"304370780","0044","Licensed","ABC DEVELOPMENT P.S. & CCC #1","5791 NEWMAN","CYPRESS","CA","90630","(562) 924-1508","CALVILLO, LISA","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"300605296","0048","Licensed","ABC DEVELOPMENT PRESCHOOL #1","4631 1/2 LA PALMA AVE.","LA PALMA","CA","90623","(562) 924-1508","LISA CALVILLO","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"300614038","0060","Licensed","ABC DEVELOPMENT PRESCHOOL #3","9972 GRAHAM ST.","CYPRESS","CA","90630","(714) 821-4222","HEIN, CINDY","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"304270216","0048","Licensed","ABC DEVELOPMENT PRESCHOOL #5","8630 MOODY ST.","CYPRESS","CA","90630","(714) 952-4222","LISA FODEN","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"304370849","0060","Licensed","ABC DEVELOPMENT PRESCHOOL & CHILD CARE CTR #4","10051 1/2 BERNADETTE AVENUE","BUENA PARK","CA","90620","(714) 828-4222","NIKKI BRZUSKA","ORANGE CO CHILD CARE (06)","(714) 703-2800"
"198012830","0030","Licensed","ABC EDUCATIONAL CENTER","1129 COLE AVENUE","LOS ANGELES","CA","90038","(323) 466-9984","YAZMIN NEWMAN","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"434413116","0030","Licensed","ABC EVERGREEN PRESCHOOL","2650 ABORN ROAD","SAN JOSE","CA","95121","(408) 250-1829","JENNY YEN HA","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"566213795","0030","Licensed","ABC KIDS PRESCHOOL & CHILD CARE","808 RIVER ST.","FILLMORE","CA","93015","(805) 524-1222","ALMA FERREL","CENTRAL COAST-CHILD (17)","(805) 562-0400"
"434407563","0049","Licensed","ABC LEARNING MONTESSORI","1115 KIMBERLY DRIVE","SAN JOSE","CA","95118","(408) 448-4578","DIANA MANIX","SAN JOSE-DAY CARE (07)","(408) 324-2148"
"198012390","0088","Licensed","ABC LITTLE SCHOOL STUDIO CITY, LLC","11728 MOORPARK STREET","STUDIO CITY","CA","91604","(818) 766-5557","BELLOSO, VERONICA","L.A. DAY CARE-EAST (33)","(323) 981-3350"
"197413414","0100","Licensed","ABC LITTLE SCHOOL VAN NUYS, LLC","6447 WOODMAN AVENUE","VAN NUYS","CA","91401","(818) 786-5169","JESSICA BROWN-VINCENT","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197413773","0040","Licensed","ABC LITTLE SCHOOL WEST HOLLYWOOD, LLC","927 NORTH FAIRFAX AVENUE","WEST HOLLYWOOD","CA","90046","(323) 654-9920","LANDA, ROZA","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"197417567","0097","Licensed","ABC LITTLE SCHOOL-SHERMAN OAKS, INC","14926 BURBANK BLVD.","SHERMAN OAKS","CA","91411","(818) 786-0301","GINA DEBIASE","L.A. DAYCARE-NO.WEST (30)","(310) 337-4333"
"013419449","0080","Licensed","ABC MAGIC MOMENTS PRESCHOOL - IRVINGTON","4600 CAROL AVE.","FREMONT","CA","94538","(510) 585-5965","MENDEZ, MAROOF","BAY AREA-CC OAKLAND (02)","(510) 622-2602"
