ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00002214,PR-40000066,Long Day Care,Play & Learn Child Care - Raceview,Lakota (Queensland) Pty Ltd,106 Cemetery Road   ,RACEVIEW,QLD,4305,3812 1661,38122699,info@playandlearnchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,8/18/13,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,http://www.playandlearnchildcare.com.au,"""ages 15 months to 5 years""","""15 months - 30 months: $68.50, 30 months - 5 years: $65.50""",6.30am - 6.30pm,T,,,T,T,,,,T,,T,T,,,,,,,,,
SE-40000747,PR-00000910,Out of Hours Care*,Quality School Age Care Services- Brassall,Melita Frances Shaw,2 Pommer St  ,BRASSALL,QLD,4305,432240180,,melitashaw@optusnet.com.au, The service is approved to provide education and care to children during school holidays only,40,9/22/16,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,,"""ages 4 years to 16 years""",,7.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00000169,PR-00000703,Long Day Care,Raceview Community Early Childhood Centre,Churches of Christ In Queensland Churches of Christ Care,219 Whitehill Road  ,RACEVIEW,QLD,4305,07 3288 8772,07 3288 8428,raceviewcecc@cofcqld.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,54,8/2/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://careearlychildhood.com.au/long/143-2/,"""ages 6 weeks to 4 years""","""6 weeks - 4 years: $75.00""",6.30am - 5.30pm,T,,,,,F,,,,,,,,,,,,,"Y: 6 weeks - 24 months, Y: 15 months - 3 years, Y: 2 years - 3 years, Y: 3 years to 6 years""",,
SE-00001529,PR-00000620,Short Day Care,Raceview Congregational Pre School and Kindergarten,Raceview Congregational Fellowship Inc,117 Wildey Street  ,RACEVIEW,QLD,4305,07 3294 1199,,glendachandler@ymail.com,,24,6/1/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000573,PR-00001152,"""Long Day Care, Out of Hours Care*""",Raceview Kids Early Learning Centre,Fayzaan Investments Pty Ltd ATF the Matfa Australia Trust,80 Thornton Street  ,RACEVIEW,QLD,4305,32889944,32889914,director@raceviewkids.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 8:00am to 9:00am and 3:00pm to 4:00pm when it is 107 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,100,6/29/15,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,http://www.kidsearlylearningcentre.com/,"""ages 6 weeks to 12 years""",,,,,,,,F,,,,,,,,,,,,,,,
SE-00001195,PR-00000536,Out of Hours Care,Raceview State School P&C Association Outside School Hours Care,Raceview State School P & C Association,Raceview State School  98 Wildey Street,RACEVIEW,QLD,4305,07 3389 8454,07 3389 8454,roshc@optusnet.com.au,,60,8/16/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,,,,,,,,,,,,,,,,,,,,,,,,,
SE-00002181,PR-00000091,Short Day Care,Roderick St Community Pre-School and Kindergarten,Roderick Street Community Preschool & Kindergarten Assoc Inc,4 Cribb Street  ,SADLIERS CROSSING,QLD,4305,3281 5951,3202 4629,roderickstkindy@bigpond.com,,24,1/28/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/roderickstreet,"""ages 3 years to 5 years""","""3 years - 5 years: $20.80""",8.45am - 2.55pm,F,,,,,T,$10,F,F,,,,,,,,,,,,
SE-00001047,PR-00000702,Out of Hours Care*,St Joseph's Outside School Hours Care North Ipswich,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Pine Mountain Road  ,NORTH IPSWICH,QLD,4305,07 3201 7592,32017592,northipswich@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P 18 Accessibility within MP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,90,9/21/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.stjosephsnorthipswich.qld.edu.au/oshc/Pages/default.aspx,""" ages 4 years to 12 years""","""4 years - 12 years: $15.00""","""6.30am - 8.30am, 2.30pm - 6.00pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00001041,PR-00000702,Out of Hours Care*,St Mary's Ipswich Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,St Mary's Primary School  Mary Street,WOODEND,QLD,4305,07 3281 9381,07 3812 3911,ipswichoshc@bne.centacare.net.au,,105,2/14/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.stmarysipswich.qld.edu.au/our-school/Pages/Outside-School-Hours-Care.aspx,"""ages 4 years to 12 years""","""BSC: $12.00, ASC: $17.00""","""6.15am - 8.15am, 2.30pm - 6.00pm""",,,,,,F,,,F,,,,,,,,,,,,
SE-00002015,PR-00001154,Long Day Care,Sunkids Children's Centre - Yamanto,Ocean Investments Qld Pty Ltd ATF the Childcare Zone Trust,7 Leonard Street  ,YAMANTO,QLD,4305,07 3288 0044,07 3288 0200,yamanto@sunkids.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. An approved alternate solution relating to Performance Criteria 7 Sluicing Facilities within MP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 23 November 2005) applies to this service. This service is approved to provide a rest period from 11:30am to 1:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,9/12/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.sunkids.com.au/,"""ages 6 weeks to 4 years""","""6 weeks - 35 month: $78.00, 36 months - 4 years: $76.00""",6.00am - 6.00pm,,,,,,F,,,T,,,,,,,,,,,,
SE-00002040,PR-40001112,"""Long Day Care, Out of Hours Care*""",Village Kids Childrens Centre - Ipswich,Affinity Education Group Limited,199 Warwick Road  ,CHURCHILL,QLD,4305,07 3810 0700,3810 0799,ipswich@villagekids.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 87 children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,7/10/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://villagekids.com.au/find_a_centre/ipswich,"""ages 6 weeks to 12 years""",,,T,T,,,T,F,,,T,,,,,,,,,,,,
SE-00001656,PR-00000081,"""Long Day Care, Out of Hours Care*""",Winston Glades Early Education Centre & Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,133 Kensington Drive  ,FLINDERS VIEW,QLD,4305,07 3288 9655,07 3801 5144,winstonglades@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,117,8/30/15,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=9&name=Winston+Glades+Early+Education+Centre+%26+Pre-school,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $77.00, 25 months - 4 years: $75.00, 5 years: $70.00""",6.00am - 6.00pm,T,,,,,F,,,T,,,,,,,,,,,,
SE-00001451,PR-00000037,Short Day Care,Yamanto Community Kindergarten and Preschool,Yamanto Community Kindergarten and Pre School Assoc Inc,125 Equestrian Drive  ,YAMANTO,QLD,4305,07 3288 8713,,yamantokindergarten@bigpond.com,,25,2/1/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/yamanto,"""ages 3 years to 5 years""","""3 years - 5 years: $19.00""",8.30am - 2.30pm,F,,,,,F,,,F,,,,,,,,,,,,
SE-00001983,PR-00001154,"""Long Day Care, Out of Hours Care*""",1 2 3 4 Kids,Ocean Investments Qld Pty Ltd ATF the Childcare Zone Trust,Cnr Junction Rd and Krystyna Ct  ,KARALEE,QLD,4306,07 3294 7455,07 3344 5245,1234kids@gcaweb.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,10/14/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.1234kids.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $73.00, 25 months - 4 years: $70.00, 4 years - 5 years $68.00""",6.30am - 6.00pm,,,,,,T,,,,,,,,,,,,,,,
SE-00000559,PR-00004831,Long Day Care,Amberley Child Care Centre,Mission Australia Early Learning Services Limited,Gannett Street  ,AMBERLEY,QLD,4306,07 5464 3144,5464 3400,LobegeigerN@missionaustralia.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. The service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,62,5/12/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.maearlylearning.com.au/qld/amberley,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $77.00""",6.30am - 6.00pm,F,T,,,,F,,,T,,,,,,,,,,,,
SE-00001808,PR-00001238,Long Day Care,Bush Kidz,Trinity Childcare Pty Ltd,19 Eleazar Drive  ,BLACKSOIL,QLD,4306,07 3201 4231,07 3201 4231,bushkidz@bushkidz.com.au, This service is approved to exceed the approved number of places during the period from Exceed max capacity – Monday to Friday between the hours of 3:30pm and 5:30pm when it is 180 children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00 pm Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,169,11/2/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://bushkidz.com.au/,"""ages 6 weeks to 4 years""",,6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00001280,PR-00008029,Short Day Care,C&K Blackbutt Community Kindergarten,The Creche and Kindergarten Association Limited,36 Sutton Street  ,BLACKBUTT,QLD,4306,07 4163 0553,,blackbutt@candk.asn.au, This service is approved to operate for 20 hours or less a week.,16,8/23/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/blackbutt,"""ages 3 years to 5 years""","""3 years - 5 years: $28.00""",9.00am - 2.30pm,F,,,,,T,F,,F,,,,,,,,,,,,
SE-00001304,PR-00008029,Short Day Care,C&K Mt Crosby Community Kindergarten,The Creche and Kindergarten Association Limited,Mt Crosby Community Hall  Stumers Rd,MOUNT CROSBY,QLD,4306,07 3201 1534,07 3201 1534,mobile4@candk.asn.au,,21,5/11/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/mtcrosby,"""ages 3 years to 5 years""","""3 years - 5 years: $29.12""",9.00am - 2.30pm,F,,,,,T,F,,F,,,,,,,,,,,,
SE-00001100,PR-00002539,Outside Hours Care*,Camp Australia - West Moreton Anglican College OSHC,Camp Australia Pty Limited,Keswick Road  ,KARRABIN,QLD,4306,07 3813 4587,07 3813 4566,rosa@campaustralia.com.au,,100,9/6/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.campaustralia.com.au/Service/QLDWestMoretonAnglicanCollege/1208,"""ages 5 years to 16 years""","""BSC: $14.06, ASC: $10.97, VC: $40.00""","""6.30am - 8.00am, 3.00pm - 6.00pm""",,,,,,F,,,F,,,,,,,,,,,,
SE-00000364,PR-00001129,Long Day Care*,Goodstart Early Learning Fernvale,Goodstart Early Learning Ltd,4 Davillea Court  ,FERNVALE,QLD,4306,5426 7608,5426 7608,kdv@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,12/1/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.goodstart.org.au/centres/fernvale/overview,"""ages 6 weeks to 4 years""",""" 6 weeks - 12 months: $76.10, 13 months - 24 months: $74.50, 25 months - 4 years: $70.00""",6.00am - 6.00pm,T,,,,,F,,,F,,,,,,,,,,,,
SE-40000995,PR-00001129,Long Day Care,Goodstart Early Learning Peak Crossing,Goodstart Early Learning Ltd,1323 Ipswich Boonah Road  ,PEAK CROSSING,QLD,4306,07 5467 2471,,gst@goodstart.org.au,,22,7/24/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/peak-crossing/overview,"""ages 3 years to 5 years""",,6.30am - 6.30pm,,,,,,F,,,F,,,,,,,,,,,,
SE-00000506,PR-00001125,Long Day Care,Karalee Child Care Centre,Karen Johnston Pty Ltd ATF Karen Johnston Trust,32- 36 Arthur Summervilles Road  ,KARALEE,QLD,4306,07 3294 7200,3294 7557,admin@karaleechildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,5/30/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.karaleechildcarecentre.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $72.50, 25 months - 4 years: $70.50""",6.30am - 6.30pm,F,,,,,,,,,,,,,,,,,,,,
SE-00001543,PR-00000454,Short Day Care,Karalee Community Kindergarten,Karalee Community Kindergarten Inc,56 Harold Summervilles Road   ,KARALEE,QLD,4306,07 3294 6699,,kckindy@bigpond.net.au,,24,2/25/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/karalee,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $18.50""",9.00am - 2.30pm,F,,,,,F,,,F,,,,,,,,,,,,
SE-00000908,PR-00000765,Outside Hours Care*,Karalee Outside School Hours Care,Karalee State School P&C Association,C/O Karalee State School   A Summerville Road,KARALEE,QLD,4306,07 3294 5336,32945300,dkohs1@eq.edu.au,,120,6/30/13,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://karaleess.eq.edu.au/wcms/index.php/community29/p-c110/oshc57,"""ages 4 years to 12 years""","""ASC: $15.50""","""6.30am - 9.00am,3.00pm - 6.00pm"" ",T,,,,,F,,,F,,,,,,,,,,,,
