ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment
SE-00001361,PR-00000409,Short Day Care,Goondiwindi Kindergarten,Goondiwindi Kindergarten Association Inc,66 Albert Street  ,GOONDIWINDI,QLD,4390,07 4671 1070,4671 1070,gdikindy@bigpond.net.au,,24,11/9/14,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/goondiwindi,"""ages 3.5 years - 5 years""",,8.45am - 2.45pm,F,,,,,,,,
SE-00001566,PR-00001057,Long Day Care,Lead Childcare - Goondiwindi,Leading Child Care Pty Ltd,63 George Street East  ,GOONDIWINDI,QLD,4390,07 4671 2233,,goondiwindi@leadchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,85,6/28/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.leadchildcare.com.au/centre/goondiwindi/,"""ages 6 weeks to 6 years""","""ages 6 weeks - 24 months: $68.00, 25 months - 6 years: $66.00""",6.30am - 6.30pm,F,T,,,,F,,,T
SE-00002244,PR-00000659,Out of Hours Care*,PCYC Goondiwindi - Goondiwindi SS,Queensland Police-Citizens Youth Welfare Association ,34 George Street  ,GOONDIWINDI,QLD,4390,439581048,07 4671 5688,pcycsac@pcyc.org.au,,30,7/20/15,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://pcyc.org.au/Goondiwindi/,"""ages 4 years to 12 years""","""BSC: $18.00, ASC: $21.50, VC: $45.00""","""BSC: 6.30am - 8.30am, ASC: 3.00pm - 6.00pm, VC: 6.00am - 6.00pm""",T,,,,,F,,,T
SE-00001189,PR-00000297,Out of Hours Care,Kingsthorpe State School P&C Outside School Hours Care,Kingsthorpe State School P & C Association,50 Goombungee Road   ,KINGSTHORPE,QLD,4400,07 4699 2333,07 4699 2300,dmurp1@eq.edu.au, This service may provide education and care before and after school only.,35,11/12/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 5 years to 12 years""","""BSC: $7.00, ASC: $12.00""","""BSC: 7.00am - 8.50am, ASC: 3.00pm - 6.00pm""",T,,,,,,,,
SE-00001962,PR-00001124,"""Long Day Care, Out of Hours Care""",Little Kookas Kingsthorpe Childcare,Kingsthorpe Labour Co Pty Ltd ATF Yelwoc Family Trust,20 North Street  ,KINGSTHORPE,QLD,4400,07 4699 3741,07 3879 8788,admin@kookas.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 11:30am to 1:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,3/16/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,,"""ages 6 weeks to 5 years""","""6 weeks - 35 months: $81.50, 36 months - 5 years: $77.00, ASC: $20.00""",6.30am - 6.30pm,T,T,,,,,,,
SE-00001442,PR-00008029,Short Day Care,C&K Oakey Community Kindergarten,The Creche and Kindergarten Association Limited,Cnr Stanley and Beale Streets  ,OAKEY,QLD,4401,07 4691 1075,07 4691 1075,oakey@candk.asn.au,,25,11/2/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/oakey,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $27.04""",8.30am - 2.30pm,F,,,,,F,,,F
SE-00000437,PR-00000743,Long Day Care,Cuddly Bears Children's Centre,Oakey Child Care Pty Ltd,60 York Street  ,OAKEY,QLD,4401,07 4691 2255,4691 2255,cuddlybears@live.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,108,7/9/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $60.00, 13 months - 35 months: $59.00, 36 months - 6 years: $58.00""",5.30am - 6.00pm,,,,,,,,,
SE-00001920,PR-00000755,Long Day Care,Little Champions Child Care,Oakhaul Pty Ltd,35-37 York Street  ,OAKEY,QLD,4401,07 4691 1691,07 4691 1691,thereseandglenjames@gmail.com,,75,5/31/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,"""ages 6 weeks to 3 years","""6 weeks - 12 months: $62.00, 13 months - 36 months: $62.00""",,,,,,,,,,
SE-00001571,PR-40001112,Long Day Care,A Country Garden Early Childhood Centre - Dalby,Affinity Education Group Limited,62 Bunya Street  ,DALBY,QLD,4405,07 4669 6366,07 4669 6399,veronica@acountrygarden.com.au,  This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12.30pm to 2.30pm on Monday  to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,80,5/1/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.acountrygarden.com.au/,"""ages 6 weeks to 5 years""",,6.00am - 6.00pm,,,,,,,,,
SE-00001337,PR-00000532,Short Day Care,Dalby Beck Street Kindergarten,Dalby Beck Street Kindergarten Association Inc,Beck Street  ,DALBY,QLD,4405,07 4662 3586,,beckst.kindy@bigpond.com,,25,6/7/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/dalby,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $25.00""",8.45am - 2.45pm,F,,,,,F,,,F
SE-00001948,PR-00001134,Short Day Care,Dalby Christian College Early Learning Centre,Christian Community Ministries Limited,2A Mary Street  ,DALBY,QLD,4405,07 4672 4229,07 4662 5743,elc@dalbycc.qld.edu.au, This service is approved to provide education and care to children from children from 30 months up to and including school children The service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,44,8/11/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Dalby Christian College Early Learning Centre,"""ages 2.5 years to 5 years""","""2.5 years - 5 years: $42.00 or $58.00*""",9.00am - 2.45pm,,,,,,F,,,T
SE-00000129,PR-00000191,Long Day Care,Dalby Day Nursery & Preschool,Dalby Day Nursery & Preschool Association Inc,5 Stuart Street  ,DALBY,QLD,4405,07 4662 3372,,dalbydaynursery@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,58,1/31/14,Exceeding NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,,"""ages 6 weeks to 6 years""","""6 weeks - 35 months: $62.00, 36 months - 6 years: $59.00""",7.00am - 6.00pm,,,,,,,,,
SE-00000524,PR-00001129,Long Day Care,Goodstart Early Learning Dalby,Goodstart Early Learning Ltd,56 Condamine Street  ,DALBY,QLD,4405,07 4662 5227,4662 5897,dal@goodstart.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123 (1) (a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,7/2/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,http://www.goodstart.org.au/centres/dalby/overview,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $86.10, 13 months - 24 months: $83.00, 25 months - 35 months: $79.40, 36 months - 6  years: $76.30"" ",7.00am - 6.00pm,T,T,,,,,,,
SE-00002215,PR-00001069,Out of Hours Care*,Kids Club Dalby,Hoopert Custom Cutters Pty Ltd & the Trustee for Pedler Family Trust,Corner Hogan and Bunya Streets   ,DALBY,QLD,4405,428884037,746636171,admin@kidsclubdalby.com.au ,,80,6/30/13,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,http://www.kidsclubdalby.com.au/,"""ages 5 years to 12 years""","""","""BSC: 6.30am - 8.30am, ASC: 3.00pm- 6.00pm, VC: 6.30am - 6.00pm""",,,,,,,,,
SE-00000931,PR-00000659,Out of Hours Care*,PCYC Dalby School Age Care ,Queensland Police-Citizens Youth Welfare Association ,Dalby PCYC  Cooper Street,DALBY,QLD,4405,07 4672 2400,07 4662 2865,kelly.stapleton@pcyc.org.au,,80,5/15/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Dalby.aspx,"""ages 5 years to 12 years""","""BSC: $15.00, ASC: $19.00, VC: $42.00""","""BSC: 6.30am - 8.30am, ASC: $19.00, VC: $42.00""",T,,,,,,,,
SE-00000779,PR-00000426,Short Day Care,Snow White Kindergarten,Kath Dickson Family Centre Association Inc,129 Bunya Street  ,DALBY,QLD,4405,07 4662 1078,4662 1078,snowwhite@kathdicksoncentre.com.au,,21,3/18/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/snowwhite,"""ages 3.5 years to 5 years""",,8.30am - 2.45pm,F,,,,,,,,
SE-00001336,PR-00000191,,Stuart Street Kindergarten and Preschool,Dalby Day Nursery & Preschool Association Inc,5 Stuart Street  ,DALBY,QLD,4405,07 4662 1739,07 46 222 865,stuartstreetkindy@bigpond.com,,25,6/1/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,
SE-00001387,PR-00000628,Short Day Care,Jandowae Kindergarten,Jandowae Kindergarten Association Inc,Warra Street  ,JANDOWAE,QLD,4410,4668 5665,07 4668 5665,jandowaekindy@bigpond.com, This service is approved to operate for 20 hours or less a week.,16,6/7/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.candk.asn.au/jandowae,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $20.00""",9.15am - 2.45pm,F,,,,,,,,
SE-00002294,PR-00001130,Long Day Care,Charley's Place Early Learning College,Jashelle Pty Ltd ATF JS & RL Hewett Family Trust & Thirsty Pete Pty Ltd ATF Belgiddi Family Trust,3 Braithwaite Street  ,CHINCHILLA,QLD,4413,07 4668 9366,07 4662 7512,selena@charleysplace.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 11:00am to 1:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,6/19/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.charleysplace.com.au/charleysplace/Home__.html,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $64.00""",6.30am - 6.30pm,,,,,,,,,
SE-00002309,PR-00001130,Long Day Care,Charley's Place Vacational College,Jashelle Pty Ltd ATF JS & RL Hewett Family Trust & Thirsty Pete Pty Ltd ATF Belgiddi Family Trust,34 - 40 Bell Street  ,CHINCHILLA,QLD,4413,447689366,4662 7152,selena@charleysplace.com.au, This service is approved to provide education and care to children from over preschool age including school children.,50,10/5/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.charleysplace.com.au/charleysplace/Home__.html,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $64.00""",6.30am - 6.30pm,,,,,,,,,
SE-00000809,PR-00000703,Family Day Care,Chinchilla and District Family Day Care Scheme,Churches of Christ In Queensland Churches of Christ Care,16 Villiers Street  ,CHINCHILLA,QLD,4413,07 4668 9521,4668 9153,chinchillafdc@cofcqld.com.au,,0,8/31/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,,"""ages 6 weeks to 12 years""","""6 weeks - 12 years: $8.50 - $10.00*""",12.00am - 11.59pm,F,,,,,,,,
SE-40001040,PR-00008140,Short Day Care,Chinchilla Christian School Pre Prep,Chinchilla Christian School Limited,88 Oak St  ,CHINCHILLA,QLD,4413,07 4668 9777,07 4668 9770,principal@chinchillacs.qld.edu.au,,22,7/12/17,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.chinchillacs.qld.edu.au/downloads.htm,,,,,,,,,,,,
SE-40001802,PR-00000523,Short Day Care,Chinchilla Community Kindergarten,The Chinchilla Community Kindergarten Inc,24-26 Colamba St  ,CHINCHILLA,QLD,4413,746627028,,chinchillakindy@bigpond.com,,44,1/29/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.candk.asn.au/chinchilla,"""ages 3.5 years to 5 years""","""ages 3.5 years - 5 years: $23.00""",8.40am - 2.50pm,F,,,,,T,,,F
SE-00001639,PR-00000703,Long Day Care,Chinchilla Early Childhood Centre,Churches of Christ In Queensland Churches of Christ Care,14 Villiers Street  ,CHINCHILLA,QLD,4413,4668 9412,,chinchillaecc@cofcqld.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,29,6/24/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,7.00am - 6.00pm,,,,,,,,,
SE-00000844,PR-00000221,Family Day Care,Murilla Family Day Care,Murilla Community Centre Inc,73A Murilla Street  ,MILES,QLD,4415,07 4627 2027,07 4627 2714,fdcmiles7@bigpond.com,,0,7/12/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,,,,12.00am - 11.59pm,F,,,,,,,,
SE-00001433,PR-00000403,Short Day Care,Murilla Kindergarten,Murilla Kindergarten Association Inc,Marian Street  ,MILES,QLD,4415,07 4627 1340,,murillakindy@hotmail.com,,20,6/7/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.candk.asn.au/murilla,"""ages 3.5 years to 5 years""","""3.5 years - 5 years: $24.00""",8.20am - 2.30pm,F,,,,,,,,
SE-00000771,PR-00000221,Long Day Care,Murilla Long Day Care Centre,Murilla Community Centre Inc,Cnr Murilla and Condamine Sts  ,MILES,QLD,4415,46272108,07 46 272 021,longdaycare@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,51,8/4/15,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,,,,,,,,,,,,,
SE-00001193,PR-00000221,Out of Hours Care,Murilla Outside School Hours Care,Murilla Community Centre Inc,Holy Cross Church Grounds  Cnr Eleanor & Dawson Streets,MILES,QLD,4415,07 4627 2999,07 4627 2021,longdaycare@bigpond.com, This service may provide education and care after school and during school holidays only.,30,9/13/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,
SE-00000784,PR-00000604,,Maranoa Early Learning,Maranoa Regional Council,50-52 Burrowes St  ,SURAT,QLD,4417,07 4626 5659,4626 5370,judith.gwydir@maranoa.qld.gov.au, Monday and Friday This service is approved to provide education and care to children from 36 months including over preschool age not including school children.,15,10/14/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,,,,,,,,,,,,,
SE-00001500,PR-00000555,Short Day Care,Wandoan and District Kindergarten,Wandoan and District Kindergarten Association Inc,19 Waterloo Street  ,WANDOAN,QLD,4419,07 4627 4102,,wandoankindy1@bigpond.com,,20,9/9/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,http://www.candk.asn.au/wandoan,"""36 months to 5 years""","""36 months - 5 years: $27.50""",8.30am - 2.45pm,F,,,,,F,,,F
