ServiceApprovalNumber,ProviderApprovalNumber,Type of Care,ServiceName,Provider Legal Name,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions,Number of Approved Places,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00000737,PR-00000854,Child care,Parkinson World Of Learning,Ramsay Bourne Acquisitions (No. 2) Pty Limited,375 Nottingham Road  ,PARKINSON,QLD,4115,07 3272 6481,07 3272 1820,parkinson@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,6/16/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.worldoflearning.com.au,6 weeks - 6 years,"""6 weeks - 12 months: $83.50, 13 - 35 months: $81.50, 36 months - 6 years: $80.50""",6:30am - 6:00pm,F,T,F,,,F,,,,,,,,,,,,,,,
SE-00001702,PR-00000702,OSHC,St Stephen's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,156 Ridgewood Road  ,ALGESTER,QLD,4115,07 3711 9291,,algesteroshc@bne.centacare.net.au,,94,2/26/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.ststephens.qld.edu.au/About%20Us/Pages/Outside-School-Hours-Care.aspx,5 - 12 years,"""BSC: $13.00, ASC: $18.00, VC: $39.00""","""BSC: 6:30 - 9:00am, ASC: 2:45 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00001975,PR-00000194,Child care,Bright Start Child Care Centre - Drewvale,Jvs Investments Pty Ltd,4 Buckley Drive  ,DREWVALE,QLD,4116,07 3800 6566,07 3806 6634,brightstartdv@gmail.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123 (1) (a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,97,5/14/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,,6 weeks - 5 years,"""6 weeks - 2 years: $76.00, 2 - 3 years: $74.00, 3 - 5 years: $73.00""",6:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00002253,PR-00008029,School hours care,C&K Stretton Community Kindergarten,The Creche and Kindergarten Association Limited,942 Gowan Road  ,STRETTON,QLD,4116,417022215,07 3356 7976,stretton@candk.asn.au,,48,1/27/10,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.candk.asn.au/stretton,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100.00 enrolment fee""",8:30am - 2:30pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00000089,PR-40001164,Child care,Calamvale Child Care Centre,Frontida Pty Ltd,421-425 Gowan Rd  ,CALAMVALE,QLD,4116,07 3273 5801,07 3272 6216,calamcc@tpg.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,66,6/12/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://calamvalechildcarecentre.com.au/,6 weeks - 5 years,,7:00am - 6:30pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00002042,PR-00000947,"Child care, OSHC",Calamvale Childcare and Development Centre,Quest Properties Pty Ltd & Fasio Investments Pty Ltd,38 Nottingham Road  ,CALAMVALE,QLD,4116,07 32726455,07 3272 6499,calamvale@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,7/2/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kal.net.au/home/centres/item/calamvale-childcare-development-centre.html,6 weeks -  12 years,,6:15am - 6:15pm,"""Morning tea, afternoon tea""",T,F,,,F,,,,,,,,,,,,,,,
SE-00002333,PR-00008029,"School hours care, OSHC",Calamvale Community College C&K OSHC,The Creche and Kindergarten Association Limited,11 Hamish Street  ,CALAMVALE,QLD,4116,07 3711 2908,07 3356 7976,calamvale@candk.asn.au, It is a condition of this service approval that education and care is not provided to more than 45 school children at any one time. This service is approved to provide education and care to children from 36 months up to and including school children Children aged between 36 months and school age may not attend the service when Calamvale Community College C&amp;K Kindergarten is in operation,55,1/24/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,3.5 - 12 years,"""3.5 - 4.5 years: $27.00, 5 - 12 years BSC: $12.00, 5 -12 years ASC: $15.00, 5 - 12  years VC: $40.00""",7:00am - 6:00pm,F,F,F,,,T,,,,,,,,,,,,,,,
SE-00002060,PR-00000951,"Child care, OSHC",Calamvale Early Learning Centre,Bixa Pty Ltd ATF Bixa Discretionary Trust,Cnr Hamish Street and Nabeel Place  ,CALAMVALE,QLD,4116,07 3272 1265,,info@calamelc.com.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017.,75,11/19/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.calamelc.com.au/,6 weeks - 12 years,"""6 weeks - 2 years: $77.50, 2 - 3 years: $74.00, 3 - 5 years: $72.00, 5 - 12 years BSC: $18.00, 5 - 12 years ASC: $24.00""",6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00001664,PR-00000854,OSHC,College Kids,Ramsay Bourne Acquisitions (No. 2) Pty Limited,49A Nottingham Road  ,CALAMVALE,QLD,4116,07 3711 6226,3272 8126,collegekids@worldoflearning.com.au, An approved alternative solution relating to Performance Criteria P18  Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,57,5/25/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.worldoflearning.com.au/centres/college-kids-oshc/,5 - 12 years,"""BSC: $20.00, ASC: $22.00, VC: $54.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:30pm, VC: 6:30am - 6:30pm""",F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000758,PR-00001129,Child care,Goodstart Early Learning Calamvale 1,Goodstart Early Learning Ltd,10 Central Street  ,CALAMVALE,QLD,4116,07 3711 4500,3711 4800,cal@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,75,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/calamvale/overview,6 weeks - 5 years,"""6 weeks - 12 months: $90.00, 13 - 24 months: $87.90, 25 - 35 months: $82.80, 36 months - 5 Years: $80.70""",6:30am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00013942,PR-00001129,Child care,Goodstart Early Learning Calamvale 2,Goodstart Early Learning Ltd,12 Central Street  ,CALAMVALE,QLD,4116,07 3711 6200,3711 4800,cal2@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday.  This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,6/28/12,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.goodstart.org.au/centres/calamvale/overview,6 weeks - 5 years,"""6 weeks - 12 months: $90.00, 13 - 24 months: $87.90, 25 - 35 months: $82.80, 36 months - 5 Years: $80.70""",6:30am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00002298,PR-00001030,OSHC,Helping Hands Stretton,Helping Hands Network Pty Ltd,967 Gowan Road  ,STRETTON,QLD,4116,0407 264 111,5438 9549,stretton@helpinghandsnetwork.com.au,,105,7/13/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.helpinghandsnetwork.com.au/our-schools/stretton-state-college,5 - 12 years,,"""BSC: 6:30 - 8:45am, ASC: 2:45 - 6:00pm, VC: 6:30am - 6:30pm""",,,,,,T,,,,,,,,,,,,,,,
SE-00001877,PR-00000824,"Child care, OSHC",Koala Calamvale Child Care Centre,R.R.S Investments Pty Ltd ATF KCC Trust,56 Kameruka Street  ,CALAMVALE,QLD,4116,07 3711 5155,,Info@koalacalamvale.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday.  This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/28/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.koalacalamvale.com.au/,6 weeks - 12 years,"""6 weeks - 5 years: $71.00 - $66.00, 5 - 12 years BSC: $22.50, 5 - 12 years ASC: $27.50, 5 - 12 years VC: $59.00""",6:30am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00002224,PR-00000838,Child care,Little Tots Child Care Centre,Bhl Childcare Limited,596 Gowan Road  ,CALAMVALE,QLD,4116,07 3711 7779,,director@littletotschildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,1/4/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks -  5 years,"""6 weeks - 24 months: $79.00, 25 months - 5 years: $76.00""",6:45am - 6:15pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00000593,PR-00000854,Child care,Nottingham World Of Learning,Ramsay Bourne Acquisitions (No. 2) Pty Limited,49 Nottingham Road  ,CALAMVALE,QLD,4116,07 3272 1022,07 3272 8126,nottingham@worldoflearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday.  This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,74,6/16/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.worldoflearning.com.au/centres/nottingham-world-of-learning/,15 months - 6 years,"""15 - 24 months: $82.00, 25 - 35 months: $79.00, 36 months - 5 years: $77.00, 6 years: $62.00""",6:30am - 6:30pm,T,T,F,T,F,T,,,,,,,,,,,,,,,
SE-00002104,PR-00000986,Child care,Stretton Early Learning Centre,W & B H Management Services Pty Ltd,939 Gowan Road  ,CALAMVALE,QLD,4116,07 3276 0037 ,07 3276 0042,strettonelc@bigpond.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,6/10/11,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,http://www.strettonearlylearning.com.au/about.html,15 months - 6 years,"""15 months - 2 years: $76.50, 2 - 4 years: $73.50, 4 - 6 years: $72.50""",7:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00000680,PR-00001058,Child care,Active Kids Early Learning Centre ,Nicholas Adrian Campbell ATF Campbell Childcare Trust,76 Anzac Ave   ,HILLCREST,QLD,4118,07 3800 8100,,tammy@activekids.net.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm to 5:00pm when it is 167 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,150,5/12/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.activekids.net.au/child-care-hillcrest-centre-information.php,6 weeks -  5 years,"""6 weeks - 3 years: $74.50, 3 - 6 years: $70.00""",6:00am - 6:00pm,T,T,F,,,T,,,,,,,,,,,,,,,
SE-40000067,PR-40000085,Child care,Adam and Noah Early Learning College,Adam and Noah Pty Ltd,130-138 Waller Rd  ,HERITAGE PARK,QLD,4118,07 30541054,07 30541055,info@adamandnoahcollege.com.au,,151,2/17/14,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://adamandnoahcollege.com.au/,6 weeks - 6 years,"""6 weeks - 2 years: $90.00, 2 - 6 years: $85.00""",6:30am - 6:30pm,T,T,F,,,T,,,,,,,,,,,,,,,
SE-00000667,PR-00000985,"Child care, OSHC",Browns Plains Child Care Centre and Preschool,ACU International Education Group Pty Ltd,5 Trebeck Street  ,BROWNS PLAINS,QLD,4118,07 3800 4981,07 3800 8768,bpccc@optusnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,7/13/11,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.brownsplainschildcarecentre.com.au/,15 months - 12 years,"""15 months - 2 years: $68.00, 2 - 4 years: $66.00, 4 - 5 years: $70.00, 5 - 12 years BSC: $15.00, 5 - 12 years ASC: $20.00, 5 - 12 years VC: $26.00""",6:30am - 6:30pm,T,F,F,,,T,,,,,,,,,,,,,,,
