ServiceApprovalNumber,Provider Approval Number,ServiceType,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00000907,PR-00000702,OSHC,St Williams Outside School Hours and Vacation Care Program,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,67 Dawson Parade  ,KEPERRA,QLD,4054,07 3354 3904,07 3855 3455,keperraoshc@centacare.net.au, The maximum number of children able to be provided with education and care after school and during school holidays is 130  The maximum number of children able to be provided with education and care before school is 120  This service is approved to provide education and care to children from over preschool age including school children.,130,10/7/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stwilliamsgrovely.qld.edu.au/html/forparents/ohsc.html,5 - 12 years,"""BSC: $14.00 - $16.00, ASC: $18.00 - $20.00, VC: $40.00 - $45.00""","""BSC: 6:45 - 8:30am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",F,F,F,,,F
SE-00000412,PR-40001112,Child care,Tlc Childcare Keperra - Centre 1,Affinity Education Group Limited,6-10 Camoola Street  ,KEPERRA,QLD,4054,07 3851 2229,07 3851 2570,keperra@tlcchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,136,11/5/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.tlcchildcare.com.au/,6 weeks - 5 years,"""6 weeks - 2 years: $84.00, 2 - 4 years: $82.00, 4 - 5 years: $80.00""",6:00am - 6:00pm,T,T,F,,F,F
SE-00000210,PR-00000564,Child care,Birralee Child Care Centre,Moreton Bay Regional Council,1-7 Samantha Court  ,FERNY HILLS,QLD,4055,07 3351 4459,07 3851 2236,BirraleeChildCare@moretonbay.qld.gov.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). Children from birth up to and including over preschool age not including school children.,65,6/3/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,https://www.moretonbay.qld.gov.au/subsite.aspx?id=87500,6 weeks - 5 years,"""6 weeks - 2 years: $78.00, 2 - 5 years: $75.00""",7:00am - 6:00pm,T,F,F,,,F
SE-00000510,PR-00000916,Child care,Creative Play Ferny Grove Child Care Centre,Jamjar Holdings Pty Ltd,Cnr Hogarth Rd & McGinn Rd  ,FERNY GROVE,QLD,4055,07 3851 0611,,fernygrove1@creativeplay.net.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,8/2/10,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,www.creativeplay.net.au,15 months - 5 years,"""15 months -  3 years: $67.00, 3 - 5 years: $64.00""",7:00am - 6:00pm,F,F,F,,,F
SE-00000925,PR-00000653,OSHC,Ferny Hills Outside School Hours Care,Ferny Hills State School P & C Association,Ferny Hills State School  Illuta Avenue,FERNY HILLS,QLD,4055,07 3851 1573,07 3851 4826,fernyhills.oshc@bigpond.com, This service is approved to provide education and care to children from over preschool age including school age.,100,7/4/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,https://fernhillss.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $9.00, ASC: $12.00, VC: $33.00 + $10.00 yearly enrolment fee""","""BSC: 7:00 - 9:00am, ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00002157,PR-00001017,Child care,Habitat Early Learning Ferny Grove,Habitat Early Learning Pty Ltd ATF Habitat Discretionary Trust,54 Hogarth Road  ,FERNY GROVE,QLD,4055,3851 5151,1800 794 088,louise@habitatlearning.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,181,6/20/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://habitatkids.com.au/,6 weeks - 5 years,"""6 weeks - 12 months: $94.00, 13 - 24 months: $87.00, 2 - 3 years: $85.00, 4 - 5 years: $82.00""",6:30am - 6:30pm,T,T,F,,,F
SE-00001134,PR-00001030,OSHC,Helping Hands Ferny Grove,Helping Hands Network Pty Ltd,Finvoy Street  ,FERNY GROVE,QLD,4055,07 3851 2196,07 3351 1322,fernygrove@helpinghandsnetwork.com.au, The maximum number of children able to be provided with education and care after school is 160 The maximum number of children able to be provided with education and care before school is 110 The maximum number of children able to be provided with education and care during school holidays is 110 An approved alternative solution relating to Performance Criteria P16 Electrical safety precautions within SP5.4 - Child Care Centres of the Queensland Development Code (with a publication date of 1 November 2004) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,160,7/13/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.helpinghandsnetwork.com.au/our-schools/ferny-grove-state-school,5 - 12 years,,"""BSC: 6:30 - 8:45am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",,,,,,T
SE-00001094,PR-00000366,OSHC,Patricks Road State School OSHC,Patricks Road P&C Association Outside Hours Care,Patricks Road State School  Patricks Road,FERNY HILLS,QLD,4055,07 3851 2107,07 3851 0893,oshc@prss.com.au, This service is approved to provide education and care to children from over preschool age including school children.,120,8/15/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,https://patrroadss.eq.edu.au/facilities/outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,"""BSC: $15.00, ASC: $19.00, VC: $47.00""","""BSC: 6:30 - 8:45am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00001067,PR-00000702,OSHC,St Andrew's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,89 Hogarth Road  ,FERNY GROVE,QLD,4055,07 3851 0043,07 3851 0043,fernygroveoshc@bne.centacare.net.au, An approved alternative solution relating to Perfomance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a pulication date of 16 November 2007) applies to this service. This service is approved to provide education and care to children from over preschool age including school children.,90,10/7/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.standrewsoshc.com.au/,5 - 12 years,"""BSC: $12.00 - $13.00, ASC: $16.00 - $17.00, VC: $36.00 - $41.00 + $20.00 enrolment fee per family""","""BSC: 6:45 - 8:30am, BSC: 2:45 - 6:15pm, VC: 7:00am - 6:00pm""",T,F,F,,,F
SE-00001507,PR-00000493,School hours care,Willmore Kindergarten and Pre School,Willmore Kindergarten and Pre School Inc,14 Irruka Street  ,FERNY HILLS,QLD,4055,07 3351 2022,,willmorekindy@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,25,6/3/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/willmore,3.5 - 5 years,"""3.5 - 5 years: $650.00 per term + $100.00 enrolment fee + $10.00 waitlist fee""",8:30am - 2:30pm,F,F,F,,,F
SE-00000381,PR-00008029,Child care,C&K QUT Kelvin Grove Community Child Care Centre,The Creche and Kindergarten Association Limited,9 School Street  ,KELVIN GROVE,QLD,4059,07 3352 4956,3138 4047,qutkelvingrove@candk.asn.au, This service is approved to provide education and care to children from birth up to and includng over preschool age not including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)). This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies to children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017.,66,9/13/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/kelvingrove,6 weeks -  5 years,"""6 weeks - 2 years: $89.00, 2 - 5 years: $82.00 + $100.00 enrolment fee""",7:30am - 5:30pm,F,F,F,,,T
SE-00000075,PR-00001129,Child care,Goodstart Early Learning Red Hill,Goodstart Early Learning Ltd,19 Fulcher Road  ,RED HILL,QLD,4059,07 3366 2411,07 3366 0572,kse@goodstart.org.au, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm and 5:00pm when it is 61 children.,53,11/29/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.goodstart.org.au/centres/red-hill/services,15 months - 5 years,"""15 - 24 months: $94.10, 24 months - 3 years: $89.50, 3 - 5 years: $87.30""",6:30am - 6:30pm,T,F,F,F,,F
SE-00000890,PR-00000315,OSHC,Kelvin Grove Children's Centre,Kelvin Grove State College P & C Association,Cnr Lestrange Tce - School Street  ,KELVIN GROVE,QLD,4059,07 3352 6007,07 3352 6017,kgoshc@bigpond.com, This service is approved to provide education and care to children from over preschool age including school children.,120,9/19/09,Meeting NQS,Meeting NQS,Working Towards NQS,Exceeding NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,https://kelvingrovesc.eq.edu.au/Facilities/Outofschoolhourscare/Pages/Outofschoolhourscare.aspx,5 - 12 years,,"""BSC: 7:00 - 8:30am, ASC: 3:00 - 6:00pm, VC: 7:00am - 6:00pm""",F,F,F,,,F
SE-00000053,PR-00000611,Child care,Kindyland Pre School and Child Care Centre,Pananga Pty Ltd,Cnr Franklin & Dunsmore Street  ,KELVIN GROVE,QLD,4059,07 3356 8153,,, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 monthsÂ up to and including over preschool age not including school children A report detailing annual testing of the softfall is provided every 12 months and is due by 30 October every year. This service is approved to provide a rest period from 12:30pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,50,12/21/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,15 months - 5 years,"""15 - 30 months: $80.00, 30 months - 5 years: $70.00 - $75.00""",7:30am - 5:30pm,,,,,,F
SE-00001454,PR-00000241,"School hours care, OSHC",Red Hill Kindergarten,Red Hill Kindergarten Association Inc,95 Enoggera Terrace  ,RED HILL,QLD,4059,07 3369 4756,07 3369 3041,redhillkindergarten@bigpond.com, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,40,8/31/10,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.redhillkindergarten.com.au/,3.5 - 5 years,"""Preschool: $28.00, BSC: $10.00 - $30.00, ASC: $10.00 - $30.00, VC: $56.00""","""Preschool: 8:30am - 2:30pm""",F,F,F,,,F
SE-00001260,PR-00000550,"School hours care, ASC",Ashgrove Memorial Pre School & Kindergarten,Ashgrove Memorial Preschool & Kindergarten Association Inc,26 Wessex Lane   ,ASHGROVE,QLD,4060,07 3366 4706,07 3366 4706,admin@ashgrovekindy.org.au, This service is approved to provide education and care to children from 36 months up to and including school children.,50,7/12/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://ashgrovekindy.org.au/,3.5 - 4.5 years,"""Kindergarten: $28.00 per day + $5.00 membership fee + $100.00 maintenance fee (refundable), ASC: $13.00 per hour""","""Kindergarten: 8:30am - 2:30pm, ASC: 2:30 - 5:30pm""",F,F,F,,,T
SE-00001261,PR-00000443,"School hours care, ASC",Ashgrove West Pre School Centre,Ashgrove West Preschool Centre Inc,530 Waterworks Road  ,ASHGROVE,QLD,4060,07 3366 1212,,awps@smiletelecom.com.au, This service is approved to provide education and care for children from 36 months and including over preschool age not including school children.,49,6/18/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/ashgrovewest,3.5 - 4.5 years,"""Kindergarten: $24.60 per day, ASC: $11.00 - $13.00 per hour""","""Kindergarten: 8:30am - 2:30pm, ASC: 2:30 - 5:30pm""",F,F,F,,,F
SE-00002361,PR-00008029,School hours care,C&K Oakleigh Community Kindergatren,The Creche and Kindergarten Association Limited,47 Buxton Street  ,ASHGROVE,QLD,4060,3366 0209,07 3366 0185,oakleigh@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,2/24/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/oakleigh,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100 enrolment fee""",8:45am - 2:45pm,F,F,F,,,T
SE-00002033,PR-00008029,School hours care,C&K The Gap Community Kindergarten,The Creche and Kindergarten Association Limited,1174-1180 Waterworks Road  ,THE GAP,QLD,4060,3300 2906,07 3300 1002,thegap@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,44,4/28/11,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/thegap,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100 enrolment fee""",8:45am - 2:45pm,F,F,F,,,T
SE-00000034,PR-00001129,Child care,Goodstart Early Learning Ashgrove,Goodstart Early Learning Ltd,22 Trout Street  ,ASHGROVE,QLD,4060,07 3366 5478,,ash2@goodstart.org.au, This service is approved to provide education and care to children from birth up to and including school children. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,120,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/ashgrove/overview,6 weeks -  5 years,"""6 weeks - 12 months: $94.40, 13 - 24 months: $91.10, 2 - 3 years: $89.30, 3 - 5 years: $87.10""",7:00am - 6:00pm,F,F,F,,,F
SE-00001129,PR-00000702,OSHC,Mater Dei Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,7 Lynwood Crescent  ,ASHGROVE,QLD,4060,07 3366 7138,07 3366 0935,ashgrovewestoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,45,7/17/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.materdei.qld.edu.au/documents/oshc.html,5 - 12 years,"""BSC: $15.00, ASC: $19.00, VC: $41.00""","""BSC: 7:00 - 8:40am, ASC: 3:00 - 6:00pm, VC: 7:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
