ServiceApprovalNumber,ProviderApprovalNumber,Type of Care,ServiceName,Provider Legal Name,Service Address,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions,Number of Approved Places,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Security Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001010,PR-00000670,OSHC,Slacks Creek State School Child Care,Slacks Creek State School P&C Association,Slacks Creek State School  Azalea Avenue,DAISY HILL,QLD,4127,07 3208 7499,07 3808 7232,tammystockhill@optusnet.com.au,,50,8/25/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,5 - 12 years,,,,,,,,F,,,,,,,,,,,,,,,
SE-00001468,PR-00000406,School hours care,Springwood Community Kindergarten Association Inc,Springwood Community Kindergarten Assoc Inc,19 Dennis Road  ,SPRINGWOOD,QLD,4127,07 3208 6987,07 3208 6987,admin@springwoodkindy.com.au,,25,6/11/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.springwoodkindy.com.au/,3.5 - 4.5 years,"""3.5 - 4.5 years: $26.00 per day + $20.00 portfolio levy + $10.00 waitlist fee""",,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00000499,PR-00000081,Child care,Springwood Early Education Centre and Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,20 Dennis Road  ,SPRINGWOOD,QLD,4127,07 3808 3733,32904339,springwood@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,6/4/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=21,6 weeks - 5 years,"""6 weeks - 24 months: $82.50, 25 months - 5 years: $77.00""",6:00am - 6:00pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00001154,PR-00000671,OSHC,Springwood Road State School Outside School Hours Care,Springwood Road State School P & C Association,Springwood State School  Springwood Road,SPRINGWOOD,QLD,4127,07 3841 3944,07 3341 9481,srss_oshc@bigpond.com,,125,11/28/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.spriroadss.eq.edu.au/community/outside-school-hours.html,5 - 12 years,"""BSC: $11.50, ASC: $14.50, VC: $32.50""","""BSC: 7:00 - 8:25am, ASC: 2:30 - 6:00pm, VC: 7:00am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000891,PR-00000702,OSHC,St Edward's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,104 Chatswood Road  ,DAISY HILL,QLD,4127,07 3208 9470,,iscully@centacarebrisbane.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Developmental Code (with a publication date of 16 November 2007) applies to this service.,129,8/3/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.stedwards.qld.edu.au/documents/oshc.html,5 - 12 years,"""BSC: $15.00 - $16.00, ASC: $19.00 - $21.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F,,,,,,,,,,,,,,,
SE-00000429,PR-00001158,"Child care, OSHC",Sunkids Children's Centre 1 - Springwood,Kidzco Pty Ltd ATF the Gutco Family Trust,184 Springwood Road  ,SPRINGWOOD,QLD,4127,07 3808 9100,07 3209 1000,helen.baker@guardianchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,148,2/11/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://springwoodchildcare.com.au/,3 - 12 years,"""3 - 5 years: $75.00, 5 - 12 years BSC: $21.50, 5 - 12 years ASC: $23.50, 5 - 12 years VC: $75.00""",6:30am - 6:30pm,F,F,F,,F,F,,,,,,,,,,,,,,,
SE-40000213,PR-40000083,Child care,United Hearts Family Day Care,United Hearts Family Day Care Scheme Pty Ltd,4/1 Noel St  ,SLACKS CREEK,QLD,4127,07 3133 4193,,unitedheartsfdc@gmail.com,,0,2/13/13,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 5 years: $5.00 - $8.00 per hour""",,,,,,,F,,,,,,,,,,,,,,,
SE-00000498,PR-00000200,"Child care, OSHC",Bimbadeen Drive Early Childhood Centre,Kidsconcern Pty Ltd,Cnr Drews Rd and Piari St  ,TANAH MERAH,QLD,4128,07 3801 3644,,director@bimbadeenchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,74,10/4/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.tanahmerahchildcare.com.au/,15 months - 12 years,,6:30am - 6:30pm,T,F,F,,,F,,,,,,,,,,,,,,,
SE-00001696,PR-00001129,Child care,Goodstart Early Learning Shailer Park,Goodstart Early Learning Ltd,2 Nangara Street  ,SHAILER PARK,QLD,4128,07 3209 6566,,sha@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,11/30/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/shailer-park/overview,6 weeks - 6 years,"""6 weeks - 24 months: $83.50, 25 months - 6 years: $78.90""",6:30am - 6:30pm,F,T,F,,,F,,,,,,,,,,,,,,,
SE-00000343,PR-00000081,"Child care, OSHC",Hyperdome Early Education Centre & Preschool,Queensland Child Care Service  Pty Ltd ATF the Queensland Child Care Service Trust No.2,58 Commercial Drive  ,SHAILER PARK,QLD,4128,07 3801 3911,07 3801 5144,hyperdome@qccs.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,169,3/15/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.qccs.com.au/skins/qccs/pages/centredetails.aspx?code=19,6 weeks - 12 years,"""6 weeks - 30 months: $72.50, 30 months - 5 years: $66.50, 5 - 12 years BSC: $25.00, 5 - 12 years ASC: $22.00, 5 - 12 years VC: $66.50""",6:15am - 6:15pm,F,T,F,T,F,F,,,,,,,,,,,,,,,
SE-00000187,PR-00001001,"Child care, OSHC",Kimberley Park Child Care Centre,Wu & Kuo Childcare Pty Ltd ATF Wu & Kuo Childcare Trust & YCW Childcare Pty Ltd ATF YCW Childcare Trust,385 Chatswood Road  ,SHAILER PARK,QLD,4128,07 3209 7155,07 3209 6392,kimberley@avchildcare.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:15pm to 4:15pm when it is 83 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provided education and care to children from birth up to and including school children,75,10/21/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://avenueschildcare.com.au/locations/kimberley-park/,6 weeks - 12 years,,7:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00001153,PR-00000659,OSHC,PCYC Logan - Kimberley Park School Age Care,Queensland Police-Citizens Youth Welfare Association ,Kimberley Park State School  Floret Street,KIMBERLEY PARK,QLD,4128,3451 5350,3808 7834,kimberleyparksac@pcyc.org.au,,120,3/19/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://pcyc.org.au/School-Age-Care/Logan-Kimberley-Park.aspx,5 - 12 years,"""BSC: $15.00, ASC: $19.00, VC: $49.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00001822,PR-00000659,OSHC,PCYC Logan - Shailer Park School Age Care,Queensland Police-Citizens Youth Welfare Association ,Shailer Park State School  Bulwarna Street,SHAILER PARK,QLD,4128,38014844,38087834,shailerparksac@pcyc.org.au,,70,3/19/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://pcyc.org.au/School-Age-Care/Logan-Shailer-Park.aspx,5 - 12 years,"""BSC: $15.00, ASC: $19.00, VC: $49.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-40000334,PR-00000659,OSHC,PCYC Tudor Park - Tansey Park School Age Care,Queensland Police-Citizens Youth Welfare Association ,108 Tansey Dr  ,TANAH MERAH,QLD,4128,0418 821 282,,tanseyparksac@pcyc.org.au,,45,1/28/13,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Tudor-Park-Tansey,5 - 12 years,"""BSC: $16.00, ASC: $20.00, VC: $50.00 + $20.00 membership fee""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T,,,,,,,,,,,,,,,
SE-00000400,PR-00006701,Child care,Shailer Park Early Childhood Centre,Saunders Group Management Pty Ltd,359 Chatswood Road  ,SHAILER PARK,QLD,4128,07 3801 4666,07 3806 0099,speccchildcare@gmail.com, This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,56,11/21/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,15 months - 5 years,"""15 months - 5 years: $73.00""",7:00am - 6:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00001405,PR-00000223,School hours care,Shailer Road Community Kindergarten,Shailer Road Community Kindergarten Association Inc,75 Shailer Road  ,SHAILER PARK,QLD,4128,07 3801 2394,07 3801 2134,shailerroadkindy@bigpond.com,,50,5/31/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/shailerroad,3.5 - 4.5 years,"""3.5 - 4.5 years: $25.00 per day + $1.00 membership fee""",8:45am - 3:00pm,F,F,F,,,F,,,,,,,,,,,,,,,
SE-00002073,PR-00000789,"Child care, OSHC",Tanah Merah Early Learning Centre,Fasio Investments Pty Ltd,6-8 Pintu Road  ,TANAH MERAH,QLD,4128,07 3209 6780,07 3209 8759,tanahmerah@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,10/29/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.kal.net.au/home/centres/item/tanah-merah-early-learning-centre.html,6 weeks - 5 years,"""6 weeks - 2 years: $75.00, 15 months - 3 years: $72.00, 30 months - 5 years: $68.50, 5 - 12 years BSC: $22.00, 5 - 12 years ASC: $24.50, 5 - 12 years VC: $59.50""",6:15am - 6:15pm,T,T,F,T,T,F,,,,,,,,,,,,,,,
SE-00000181,PR-00000200,Child care,Ascot Drive Early Childhood Centre,Kidsconcern Pty Ltd,Unit 7/2 Ascot Drive  ,LOGANHOLME,QLD,4129,07 3209 7872,,ascotdrive@optusnet.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,7/27/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.ascotearlychildhood.com.au/,15 months - 5 years,"""15 - 35 months: $76.00, 36 months - 5 years: $74.00""",7:30am - 5:30pm,F,F,F,,F,F,,,,,,,,,,,,,,,
SE-00000635,PR-00001219,Child care,Camelot Child Care Centre,Bluridge Pty Ltd ,8 Gleneagles Ave   ,CORNUBIA,QLD,4129,07 32877100,07 32877100,camelotlog@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,65,7/31/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 2 years: $76.00, 3 - 5 years: $72.00, 5 - 12 years BSC: $32.00, 5 - 12 years ASC: $32.00, 5 - 12 years VC: $72.00""",6:15am - 6:15pm,T,T,F,,,F,,,,,,,,,,,,,,,
SE-00000274,PR-00007932,Child care,Early Learning Centre Loganholme,Imagine Applied Education Services Inc,3944 Pacific Highway  ,LOGANHOLME,QLD,4129,07 32088410,,csmith@iaes.org.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,91,6/1/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 5 years,"""6 weeks - 24 months: $74.00, 25 - 35 months: $73.50, 36 months - 5 years: $68.50""",6:00am - 6:00pm,T,T,F,,,F,,,,,,,,,,,,,,,
