ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist,Waitlist Fee,Waitlist refundable,Online enrollment,Secure Access,Additional Activities Included,Excursions,Guest Speakers,Outdoor Play Area,Amount of Land,Real Grass,Technology,Sibling Priority,Vacancies,Languages,Vaccinations Compulsory
SE-00001650,PR-00000973,Long Day Care,Bright Horizons Australia Childcare Deception Bay,Bright Horizons Australia Childcare Pty Ltd,2 Lipscombe Road  ,DECEPTION BAY,QLD,4508,07 3203 2999,,deceptionbay@bhchildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,7/23/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.bhchildcare.com.au/early-learning-centres-bright-horizons/queensland.html,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $75.50, 25 months - 5 years: $74.50""",6.00am - 6.00pm,F,T,,,,,,,,,,,,,,,,,,,
SE-00002315,PR-00008029,Short Day Care,C&K Deception Bay North Community Kindergarten,The Creche and Kindergarten Association Limited,47 Old Bay Road  ,DECEPTION BAY,QLD,4508,3293 4662,3293 4678,deceptionbay@candk.asn.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,24,1/25/15,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/deceptionbay,"""ages 3.5 years to 4.5 years""","""3.5 years - 4.5 years: $29.12""",8.45am - 2.45pm,F,,,,,,,,,,,,,,,,,,,,
SE-00001124,PR-00000702,Outside Hours Care*,Christ The King Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,Christ The King Catholic School  54 Thompson Street,DECEPTION BAY,QLD,4508,07 3204 2760,07 3204 2760,deceptionbayoshc@bne.centacare.net.au, This service is approved to provide education and care to children from over preschool age including school children.,45,12/1/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.christthekingdbay.qld.edu.au/documents/oshc.html,"""ages 5 years to 12 years""","""BSC: $14.00, ASC: $19.00, VC: $45.00""","""BSC: 6.00am - 8.30am, ASC: 3.00pm - 6.00pm, VC: 6.00am - 6.00pm)",T,,,,,,,,,,,,,,,,,,,,
SE-00000517,PR-00000898,"""Long Day Care, Out of Hours Care""",Deception Bay Child Care Centre,G8 Education Limited,5 Monarch Drive  ,DECEPTION BAY,QLD,4508,07 3888 5355,3888 5557,deceptionbay1@communitykids.net.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 84 children This service is approved to continue to use an edcuator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,74,2/5/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.communitykids.com.au/centres/childcare-deception-bay/,"""ages 6 weeks to 12 years""","""6 weeks - 24 months: $73.50, 25 months - 35 months - 5 years: $71.50, BSC: $22.00, ASC: $26.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001859,PR-00000898,"""Long Day Care, Out of Hours Care""",Deception Bay Children's Centre,G8 Education Limited,5 - 9 Monarch Drive  ,DECEPTION BAY,QLD,4508,3888 8858,3888 8854,deceptionbay2@communitykids.net.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30 pm to 4:30pm when it is 50 children. This service is approved to continue to use an edcuator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123(1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00 pm to 2:00 pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,44,9/18/14,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.communitykids.com.au/centres/childcare-deception-bay/,"""ages 6 weeks to 12 years""","""6 weeks - 24 months: $73.50, 25 months - 35 months - 5 years: $71.50, BSC: $22.00, ASC: $26.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00001723,PR-00001129,Long Day Care,Goodstart Early Learning Moreton Downs,Goodstart Early Learning Ltd,2-8 Mariner Blvd  ,DECEPTION BAY,QLD,4508,3204 2088,,mds@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/moreton-downs/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $83.30, 25 months - 35 months: $76.10, 36 months - 6 years: $74.50""",6.30am - 6.30pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00002233,PR-00001030,Out of Hours Care*,Helping Hands - Moreton Downs,Helping Hands Network Pty Ltd,C/- Moreton Downs State School  Parsons Blvd,DECEPTION BAY,QLD,4508,0407 198 245,,moretondowns@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children,54,10/6/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.helpinghandsnetwork.com.au/Home.htm,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000739,PR-00001059,Long Day Care,Little Bears At Honey Pot Quality Childcare Centre,M & T Green Pty Ltd ATF Green Family Trust,59 - 61 Shayne Avenue  ,DECEPTION BAY,QLD,4508,07 3204 8244,3204 8788,honeyq@tpg.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,102,2/15/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.littlebears.com.au/,"""ages 6 weeks to 5 years""","""6 weeks - 5 years: $75.00""",6.00am - 6.00pm,T,,,,,,,,,,,,,,,,,,,,
SE-00000672,PR-00007755,Long Day Care,Moreton Downs Early Education Centre,Early Education Australia Pty Ltd,31 Spencer Avenue  ,DECEPTION BAY,QLD,4508,07 3204 1199,3204 2399,moretondowns1@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,10/3/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.early-education.com.au/,,,6.00am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-00013975,PR-00000659,Out of Hours Care*,PCYC Deception Bay - Deception Bay North School Age Care,Queensland Police-Citizens Youth Welfare Association ,Deception Bay North State School  Old Bay Road,DECEPTION BAY,QLD,4508,3293 0166 (DBay SAC),,deceptionbaynorthsac@pcyc.org.au, This service is approved to provide education and care to children from over preschool age including school children.,60,6/26/16,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://pcyc.org.au/School-Age-Care/Deception-Bay-North.aspx,"""ages 5 years to 12 years""","""ASC: $21.00, VC: $42.00""","""BSC: 6.00am - 9.00am, ASC: 3.00pm - 6.30pm, VC: 6.00am - 6.30pm""",T,,,,,,,,,,,,,,,,,,,,
SE-00001728,PR-00001129,Long Day Care,Goodstart Early Learning North Lakes - College Street 2,Goodstart Early Learning Ltd,5 - 7 College Street  ,NORTH LAKES,QLD,4509,3886 5455,,nlc@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children,102,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/north-lakes-college-street/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $86.40, 25 months - 35 months: $81.30, 36 months - 6 years: $79.20""",7.00am - 6.00pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00001820,PR-00001129,Long Day Care,Goodstart Early Learning North Lakes - College Street 3,Goodstart Early Learning Ltd,5-7 College Street  ,MANGO HILL,QLD,4509,3886 5355,,nlc2@goodstart.org.au, This service is approved to provide education and care to children from over preschool age including school children.,17,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/north-lakes-college-street/overview,"""ages 6 weeks to 6 years""","""6 weeks - 24 months: $86.40, 25 months - 35 months: $81.30, 36 months - 6 years: $79.20""",7.00am - 6.00pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00001960,PR-00001129,Long Day Care,Goodstart Early Learning North Lakes - Winn Street,Goodstart Early Learning Ltd,2 Winn Street  ,NORTH LAKES,QLD,4509,3886 2533,,not@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,75,11/30/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.goodstart.org.au/centres/north-lakes-winn-street/overview,"""ages 6 weeks to 5 years""","""6 weeks - 24 months: $83.70, 25 months - 5 years: $76.50""",6.30am - 6.30pm,T,T,,,,,,,,,,,,,,,,,,,
SE-00002334,PR-00001030,Out of Hours Care,Helping Hands Bounty Boulevard,Helping Hands Network Pty Ltd,C/- Bounty Boulevard State School  Bounty Boulevard,NORTH LAKES,QLD,4509,0459 990 652,5341 8958,bountyboulevard@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from preschool age including school children.,120,12/14/14,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00014003,PR-00006559,Out of Hours Care,Helping Hands Mango Hill,Helping Hands Network Foundation Ltd,Mango Hill State School   Bonnet Parade,MANGO HILL,QLD,4509,0458 009 829,5341 8959,mangohill@helpinghandsnetwork.com.au, This service is approved to provide education and care to children from over preschool age including school children.,90,7/7/16,Working Towards NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,Working Towards NQS,http://www.helpinghandsnetwork.com.au/Home.htm,"""ages 5 years to 12 years""",,,,,,,,,,,,,,,,,,,,,,,
SE-00002177,PR-00001037,Long Day Care,Kids Capers Childcare Mango Hill,Paul Theodore Vandermeer & Australian National Homes Pty Ltd ATF The Anh Trust,Lot 2 Freshwater Creek Road  ,MANGO HILL,QLD,4509,3204 6188,3204 4377,mangohill@caperschildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,117,8/23/15,Working Towards NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.caperschildcare.com.au/index,"""ages 6 weeks to 6 years""","""6 weeks - 12 months: $71.50, 12 months - 24 months: $70.50, 25 months - 36 months: $69.50, 36 months - 6 years: $67.50""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00002263,PR-00000813,"""Long Day Care, Out of Hours Care""",Kids Capers Childcare North Lakes,Australian National Homes Pty Ltd ATF The Anh Trust,1-7  Aurora Blvd   ,NORTH LAKES,QLD,4509,07 3204 5166,3482 4599,northlakes1@caperschildcare.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to chidlren from birth up to and including school children.,138,8/23/15,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://www.caperschildcare.com.au/index,"""ages 6 weeks to 12 years""","""6 weeks - 24 months: $71.50, 25 months - 4 years: $67.50""",6.30am - 6.00pm,,,,,,,,,,,,,,,,,,,,,
SE-40001672,PR-00004831,Short Day Care,Mission Australia Early Learning Mango Hill,Mission Australia Early Learning Services Limited,Bonnet Pde  ,MANGO HILL,QLD,4509,400000000,,NQAITS.admin@dete.qld.gov.au, This service is approved to provide education and care to children from 36 months up to and including over preschool age not including school children.,22,3/22/18,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,Provisional – Not Yet Assessed,http://www.maearlylearning.com.au/qld/68-mango-hill-kindergarten,,,,,,,,,,,,,,,,,,,,,,,,
SE-00000762,PR-00001126,Long Day Care,North Lakes Kids Early Learning Centre,Mandhu Pty Ltd ATF The Patel Trust and Azuraan Investments Pty Ltd ATF The Azuraan Trust,2 Foundation Street   ,NORTH LAKES,QLD,4509,07 3491 7243,07 3491 7229,northlakeskids@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). This service is approved to provide education and care to children from birth up to and including school children.,128,12/21/14,Working Towards NQS,Working Towards NQS,Working Towards NQS,Exceeding NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,http://www.kidsearlylearningcentre.com/#!northlakes-kids/cc2y,"""ages 6 weeks to 5 years""","""6 weeks - 35 months: $79.00, 36 months - 5 years: $75.00""",6.30am - 6.30pm,,,,,,,,,,,,,,,,,,,,,
SE-00002176,PR-00001033,Outside Hours Care*,North Lakes State College OSHC,North Lakes State College P & C Association,1 Memorial Drive   ,NORTH LAKES,QLD,4509,3482 5562,3482 5559,oshc.nl@gmail.com, This service is approved to provide education and care to children from over preschool age including school children.,140,11/28/13,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,https://northlakescollege.eq.edu.au/wcms/index.php?option=com_content&view=article&id=20&Itemid=94,"""ages 5 years to 12 years""","""BSC: $15.00, ASC: $20.00, VC: $40.00""","""BSC: 6.00am - 8.30am, ASC: 2.40pm - 6.00pm, VC: 6.00am - 6.00pm""",,,,,,,,,,,,,,,,,,,,,
SE-00002267,PR-00000431,"""Long Day Care, Outside Hours Care""",Sesame Lane Child Care Centre North Lakes 2,Sesame Lane Pty Ltd,16 Joyner Circuit  ,NORTH LAKES,QLD,4509,07 3491 7013,07 3491 7865,northlakes2@sesamelane.com.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age. This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)). The service is approved to provide education and care to children from birth up to and including school children.,150,1/21/14,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,Provisional – Not yet assessed,http://sesamelane.com.au/centres/,"""ages 6 weeks to 12 years""","""6 weeks - 24 months: $67.00, 25 months - 4 years: $63.00""",6.30am - 6.30pm,T,T,,,T,,,,T,,,,,,,,,,,,
