ServiceApprovalNumber,Provider Approval Number,Type of Care,ServiceName,ProviderLegalName,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Email Address,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,Website,Age Range,Fees,Opening Hours,Food Provided,Disposable Nappies,Cloth Nappies,Air conditioning,Bus service,Online waitlist
SE-00001795,PR-00000702,OSHC,St Brendan's Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,17 Hawtree Street  ,MOOROOKA,QLD,4105,07 3275 2216,07 3421 0090,moorookaoshc@bne.centacare.net.au,,30,7/1/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.stbrendansmoorooka.qld.edu.au/About%20Us/Pages/Outside-School-Hours-Care.aspx,5 - 12 years,"""BSC: $13.00, ASC: $18.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm""",F,F,F,,,F
SE-00011342,PR-00006552,Child care,Youngstar Family Day Care,Habsa Hussein Haji and Jamal Ahmed,16-17 197 Beaudesert Road  ,MOOROOKA,QLD,4105,38922772,38922774,youngstarfamilydaycare@hotmail.com,,0,12/21/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,6 weeks - 5 years,"""6 weeks - 5 years: $5.65 per hour""",,F,F,F,,,F
SE-00000795,PR-00000526,Child care,Brisbane South Family Day Care,Family Day Care Association Queensland Inc,7A 192 Evans Road  ,SALISBURY,QLD,4107,07 3216 7677,07 3216 7577,brissouth@fdcqld.org,,0,6/3/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,6 weeks - 12 years,"""6 weeks - 12 years weekday family daycare: $6.50 - $9.50 per hour, 6 weeks - 12 years weekend family daycare: $10.00 - $50.00 per hour, 4 - 12 years BSC: $7.00 - $9.00, 4 - 12 years ASC: $7.00 - $9.00""",,F,F,F,,,F
SE-00000262,PR-00008029,Child care,C&K Salisbury Community Childcare Centre,The Creche and Kindergarten Association Limited,42 Frewin Street  ,SALISBURY,QLD,4107,07 3274 4277,3274 4226,salisbury@candk.asn.au, This service is approved to provide a rest period from 11:30am to 1:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,48,7/13/10,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,http://www.candk.asn.au/salisburycc,6 weeks -  5 years,"""6 weeks - 2.5 years: $87.40, 2.5 - 5 years: $85.30 + $100.00 enrolment fee""",7:15am - 5:45pm,F,F,F,,,T
SE-00001459,PR-00008029,School hours care,C&K Salisbury Community Kindergarten,The Creche and Kindergarten Association Limited,135 Lillian Avenue  ,SALISBURY,QLD,4107,07 3277 1624,3875 2533,salisburyk@candk.asn.au,,44,6/1/10,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.candk.asn.au/salisbury,3.5 - 4.5 years,"""3.5 - 4.5 years: $29.12 per day + $100 enrolment fee""",8:20am - 2:30pm,F,F,F,,,T
SE-00002320,PR-00000659,OSHC,PCYC SAC - Salisbury,Queensland Police-Citizens Youth Welfare Association ,Salisbury State School  19 Cripps Street,SALISBURY,QLD,4107,07 3276 7232,07 3909 9533,salisburysac@pcyc.org.au ,,45,10/11/10,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://pcyc.org.au/School-Age-Care/Inala-Salisbury.aspx,5 - 12 years,"""BSC: $16.00, ASC: $20.00, VC: $50.00 + $20.00 membership fee""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,T
SE-00000973,PR-00000702,OSHC,St Pius X Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,73 Golda Avenue  ,SALISBURY,QLD,4107,07 3272 7645,32767854,salisburyoshc@bne.centacare.net.au, An approved alternative solution relating to Performance Criteria P18 Accessibility within SP 5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service.,84,7/1/11,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.stpiusxsalisbury.qld.edu.au/page.asp?id=184,5 - 12 years,"""BSC: $12.00, ASC: $17.00, VC: $38.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00002235,PR-00000733,School hours care,Brisbane Christian College Pre-Prep Centre,Brisbane Christian College,28 Rookwood Avenue   ,COOPERS PLAINS,QLD,4108,07 3719 3111,07 3274 1071,ltanzer@brisbanechristiancollege.com.au, This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,44,11/4/11,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://brisbanechristiancollege.com.au/college-life/curriculum/brisbane-child-care/,3.5 - 4.5 years,"""3.5 - 4.5 years: $65.00""",8:00am - 4:00pm,F,F,F,,,F
SE-00000477,PR-00000201,"Child care, OSHC",Coopers Plains Child Care Centre,Coopers Plains Child Care Centre Pty Ltd,56 Orange Grove Road  ,COOPERS PLAINS,QLD,4108,07 3344 6270,3344 5245,julie@cpcc.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 87 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:30pm to 2:30pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,75,10/20/09,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,http://www.cpcc.com.au,6 weeks -  12 years,"""6 weeks - 12 months: $80.00, 13 - 24 months: $78.00, 25 - 35 months: $72.00, 3 - 5 years: $72.00, over 5 years: $57.00, 5 - 12 years BSC: $20.00, 5 - 12 years ASC: $26.00""",7:00am - 6:00pm,F,F,F,,,F
SE-00000658,PR-00001129,Child care,Goodstart Early Learning Coopers Plains,Goodstart Early Learning Ltd,483 Musgrave Road  ,COOPERS PLAINS,QLD,4108,07 3344 6624,3344 6626,cpi@goodstart.org.au, This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 december 2019 (subject to the provisions of Regulation 310 (1)0.,75,11/29/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.goodstart.org.au/centres/coopers-plains/overview,6 weeks - 6 years,"""6 weeks - 12 months: $82.90, 13 - 24 months: $80.80, 25 months - 6 years: $76.20""",6.30am - 6:00pm,T,T,F,T,T,F
SE-00001934,PR-00001098,Child care,Avenues Early Learning Centre - Sunnybank Hills,Wu & Kuo Childcare Pty Ltd ATF Wu & Kuo Childcare Trust,488 Jackson Road  ,SUNNYBANK HILLS,QLD,4109,07 3276 1222,07 3276 0205,general@avchildcare.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 86 children This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1),75,10/9/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://avenueschildcare.com.au/locations/sunnybank-hills/,15 months - 5 years,"""15 months - 5 years: $86.00 per day + $50.00 enrolment fee""",6:30am - 6:00pm,T,T,F,,,F
SE-00002218,PR-00001071,Child care,Footprints Sunnybank Child Care Centre,Footprints Sunnybank Child Care Centre Pty Ltd,357 Beenleigh Road  ,SUNNYBANK,QLD,4109,07 3423 8663,07 3423 8685,footprints@kal.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017.,75,8/24/09,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,http://www.kal.net.au/home/centres/item/footprints-sunnybank-child-care-centre.html,6 weeks - 5 years,,6:15am - 6:15pm,"""Lunch, afternoon tea""",T,F,,,F
SE-00000652,PR-00001129,Child care,Goodstart Early Learning Robertson,Goodstart Early Learning Ltd,295 Troughton Road  ,ROBERTSON,QLD,4109,07 3277 2402,,rob@goodstart.org.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 2:30pm to 4:30pm when it is 78 children This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310(1)).,75,11/29/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.goodstart.org.au/centres/robertson/overview,6 weeks -  6 years,"""6 weeks - 12 months: $82.00, 13 - 24 months: $76.40, 25 - 6 years: $74.80""",7:00am - 6:00pm,F,F,F,T,,F
SE-40000384,PR-00006559,OSHC,Helping Hands Robertson,Helping Hands Network Foundation Ltd,688 Musgrave Road  ,ROBERTSON,QLD,4109,458011412,,robertson@helpinghandsnetwork.com.au,,60,4/24/13,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://www.rsspandc.org.au/helping-hands,5 - 12 years,"""BSC: $12.00, ASC: $17.00, VC: $42.00""","""BSC: 6:30 - 8:40am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
SE-00001883,PR-00000823,Child care,Jacaranda Early Learning Centre - Sunnybank,Guardian Community Early Learning Centres Pty Ltd,78 Ardargie Street  ,SUNNYBANK,QLD,4109,07 3216 9899,,jacarandasunnybank@gcaweb.com.au, This service is approved to exceed the approved number of places during the period from Monday to Friday between the hours of 3:00pm and 5:00pm when it is 119 children. This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:00pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,111,8/1/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.jacarandasunnybank.com.au,6 weeks -  5 years,"""6 weeks - 24 months: $79.00, 25 months - 5 years: $77.00""",6:45am - 6:15pm,T,T,F,,,F
SE-40000757,PR-00008121,Limited hours care,Kyabra Limited Hours Childcare Centre,Kyabra Community Association Inc,Cnr Lister and Gager St  ,SUNNYBANK,QLD,4109,33441488,33739444,patm@kyabra.org,,14,12/31/12,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://www.kyabra.org/families-change-team/limited-hours-childcare/,18 months - 5 years,,9:00am - 1:00pm,,,,,,F
SE-00001028,PR-00000539,OSHC,MacGregor Outside School Hours Care,Macgregor State Primary School Parents and Citizens Association,54 Carnaby Street  ,MACGREGOR,QLD,4109,07 3349 4836,07 3344 6201,moshc@bigpond.net.au,,160,11/23/09,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,http://macgregorss.eq.edu.au/wcms/index.php?option=com_content&view=article&id=117:out-of-school-hours-care&catid=95:moshe&Itemid=14,5 - 12 years,"""BSC: $12.00 - $15.00, ASC: $15.00 - $18.00, VC: $39.00 - $45.00""","""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-00000895,PR-00000702,OSHC,Our Lady Of Lourdes Outside School Hours Care,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane Operating Through Centacare Child Care Services ,10 Trudgian Street  ,SUNNYBANK,QLD,4109,07 3344 3064,07 3344 3064,sunnybankoshc@bne.centacare.net.au,,100,7/1/11,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,,5 - 12 years,"""BSC: $12.50, ASC: $17.50, VC: $39.00""","""BSC: 6:30 - 8:30am, ASC: 3:00 - 6:00pm, VC: 7:30am - 5:30pm""","""Breakfast, afternoon tea""",F,F,,,F
SE-40001732,PR-00000659,OSHC,PCYC Mount Gravatt - Runcorn School Age Care,Queensland Police-Citizens Youth Welfare Association ,646 Beenleigh Rd  ,SUNNYBANK,QLD,4109,733238726,739099533,runcornsac@pcyc.org.au,,30,1/24/14,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,5 - 12 years,,"""BSC: 6:30 - 9:00am, ASC: 3:00 - 6:00pm, VC: 6:30am - 6:00pm""",,F,F,,,F
SE-00000473,PR-00000026,Child care,Sunny Hills Child Care and Education Centre,David John & Victoria May Gracen,116 Borella Road  ,SUNNYBANK HILLS,QLD,4109,07 3344 6111,07 3344 5030,sunnyhills116@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,75,3/3/11,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,,13 months - 5 years,"""13 months - 5 years: $77.00""",7:30am - 5:30pm,"""Morning tea""",F,F,,,F
SE-00001863,PR-00000026,Child care,Sunny Hills Child Care and Education Centre - 2,David John & Victoria May Gracen,101 Borella Road  ,SUNNYBANK HILLS,QLD,4109,07 3345 5500,07 3344 5030,davalap@bigpond.net.au, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide education and care to children from children from 15 months up to and including school children,75,3/10/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,13 months - 5 years,"""13 months - 5 years: $77.00""",7:30am - 5:30pm,"""Morning tea""",F,F,,,F
SE-00000088,PR-00000301,Child care,Sunnybank Anglican Child Care Centre,The Corporation of the Synod of the Diocese of Brisbane,73 Everest Street  ,SUNNYBANK,QLD,4109,07 3344 1868,33441930,saccc@bigpond.com, This service is approved to continue to use an educator to child ratio of 1:5 for children from 15 months to 24 months of age.Â  This ratio applies for children from 15 months of age in place of regulation 123 (1)(a) until 31 December 2017. This service is approved to provide a rest period from 12:15pm to 2:00pm on Monday to Friday. This condition expires on 31 December 2019 (subject to the provisions of Regulation 310 (1)).,50,10/31/11,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,Provisional â€“ Not yet assessed,,15 months - 5 years,"""15 - 30 months: $71.00, 30 months - 5 years: $69.00""",7:15am - 5:45pm,T,T,F,,,F
SE-00000964,PR-00000301,OSHC,Sunnybank Anglican Outside School Hours Care,The Corporation of the Synod of the Diocese of Brisbane,139 Young Street  ,SUNNYBANK,QLD,4109,07 3344 4128,07 3345 5750,sunnycare@bigpond.com, The service is approved to provide education and care to 55 children after school. The service is approved to provide education and care to 40 children before school. The service is approved to provide education and care 50 children during school holidays. An approved alternative solution relating to Performance Criteria P18 Accessibility within SP5.4 Child Care Centres of the Queensland Development Code (with a publication date of 16 November 2007) applies to this service,55,8/25/09,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,Provisional â€“ Not Yet Assessed,http://sunnybankanglican.org/youth-ministry/,5 - 12 years,"""BSC: $15.00, ASC: $20.00, VC: $45.00""","""BSC: 6:45 - 9:00am, ASC: 2:30 - 6:00pm, VC: 6:45am - 6:00pm""","""Breakfast, morning tea, afternoon tea""",F,F,,,F
